,step,reward,actor_loss,alpha,alpha_loss,cql1_loss,cql2_loss,cql_logp,cql_logp_next_action,cql_next_q1,cql_next_q2,cql_q1,cql_q2,critic_loss,logp,logp_next_action,q1,q2,random_q1,random_q2,target_q,batch_rewards,time
0,0,1.581033935243455,,,,,,,,,,,,,,,,,,,,,
1,30000,10.786016420445684,-54.673645,0.3639182,-0.36031806,8.3279,8.092104,2.6638746,2.801888,54.25836,54.46524,55.891045,56.05818,3.5552263,2.643541,2.7889037,55.749626,56.022747,45.765804,45.985638,56.39332,3.0150694847106934,1.019981360435486
2,35000,13.505793103945617,-108.814606,0.34246653,-0.3495191,8.85614,8.51535,2.6192436,2.6327536,107.38397,107.31264,110.21295,110.08257,6.456914,2.6738286,2.7116022,109.79993,109.740395,97.82257,98.25932,110.201225,3.122671604156494,1.9273584961891175
3,40000,10.416833428894424,-154.35205,0.36844662,0.47593886,5.261243,5.2538376,3.4587436,3.432183,153.4975,153.39725,156.1157,156.12436,6.234353,3.4766731,3.4345715,155.78946,155.71912,139.9588,140.68637,155.15356,3.100003719329834,2.823124551773071
4,45000,9.298208020709994,-182.2888,0.3811474,-0.06768495,7.1768622,6.838207,2.8099399,2.8256812,181.88177,181.06674,184.41512,183.63605,6.6911182,2.929829,2.954984,184.1501,183.46158,168.90274,168.22649,184.02213,3.091508626937866,3.718181117375692
5,50000,27.98274807225368,-210.13719,0.3951435,0.20066106,5.3090153,5.6379914,3.1547053,3.1775033,209.07521,208.65482,212.27185,211.71715,8.643482,3.2161117,3.280459,211.90079,211.30034,194.08228,194.4047,211.46649,3.1641440391540527,4.636158756415049
6,55000,20.89759317204206,-228.6936,0.40152523,0.03931401,6.928873,6.99636,3.0646186,3.068251,226.90916,226.92712,230.52405,230.43658,8.599413,3.0430846,3.0034673,229.90659,229.80202,213.05545,213.57881,228.76538,3.1271591186523438,5.5497758150100704
7,60000,26.014926120458025,-234.51169,0.4057998,0.17417876,5.778764,5.6734166,3.0382886,3.1063933,232.54596,232.76962,236.36855,236.53137,7.7199883,3.1931252,2.9594095,236.00352,236.1965,218.97845,219.98523,236.11487,3.092517137527466,6.455744151274363
8,65000,54.16223118384532,-241.93163,0.4099708,-0.038952198,6.8072987,6.5051613,2.9567947,3.0351663,240.06178,240.5834,243.61057,243.97195,9.764733,2.9563153,3.0929651,243.13943,243.50253,225.49908,226.36967,243.5547,3.1323800086975098,7.0937367161115015
9,70000,27.13728633870933,-250.8204,0.4176836,-0.077340126,4.8637266,5.3178263,2.9569805,2.8641553,248.41527,248.53851,252.61234,252.68219,5.8945055,2.9114118,2.9593148,252.38391,252.35751,235.01347,235.22522,252.25917,3.1158089637756348,7.677627670764923
10,75000,47.114047559876774,-250.32516,0.42091367,0.3719142,6.0588675,5.3339844,3.3883026,3.3457093,248.38884,248.58385,252.33347,252.3081,8.592049,3.4297957,3.266329,251.7185,251.86041,234.00943,234.2616,251.51373,3.1255083084106445,8.279439719518026
11,80000,60.85166903730488,-251.7576,0.4294894,0.053266443,4.9714365,5.0735393,3.0980067,3.0048413,249.22113,249.44637,253.59755,253.90436,9.667486,3.0630255,3.059631,253.22592,253.52887,235.34566,235.79869,252.29788,3.101530075073242,8.90091830889384
12,85000,65.12375951238317,-257.59546,0.42865473,0.15942302,4.186615,4.0004787,3.199345,3.2073085,255.2441,254.51186,259.8813,259.46527,7.3997393,3.1881976,3.1316288,259.50342,259.177,239.04425,238.95557,259.80704,3.2342662811279297,9.526777497927348
13,90000,66.84319060114579,-261.46313,0.43227297,0.020561531,5.0431347,5.0799937,2.9460795,2.9098866,258.7262,259.3035,263.04852,263.56863,5.7714014,3.024516,2.8278685,262.77576,263.27884,244.87704,245.44102,263.08798,3.104116439819336,10.157896204789479
14,95000,67.65676485528198,-263.42465,0.43577915,-0.13749877,5.732855,5.608359,2.7525206,2.7208905,261.48465,260.19482,265.99054,264.8766,7.4810257,2.8344624,2.6915941,265.70587,264.5727,248.2969,247.12698,266.03534,3.021028518676758,10.799268579483032
15,100000,57.47778109776972,-253.76556,0.43804222,0.0427355,5.1710777,5.240962,3.0674517,3.0479438,251.04526,251.71486,255.43216,256.09503,5.409203,3.051773,3.1094255,254.9862,255.6814,235.65073,236.45045,254.9581,3.076794147491455,11.734634013970693
16,105000,60.37603172071878,-261.13785,0.44180748,0.20251068,5.435045,5.032467,3.2843664,3.275516,258.62012,259.08768,262.84735,263.41663,8.385048,3.2479072,3.0120926,262.23712,262.88562,245.01022,245.76158,262.00378,3.050326347351074,12.767634244759877
17,110000,66.16005918479372,-264.65814,0.44212222,0.16723707,3.7250085,3.8208978,3.3498302,3.2809303,262.0975,261.72614,267.01062,266.6189,6.9457507,3.204905,3.342371,266.5437,266.08405,246.36438,246.60138,266.7085,3.177548408508301,13.816521581013998
18,115000,91.41990870198642,-258.59702,0.44521183,0.052518792,4.214205,4.0241284,3.0919967,3.014192,255.75433,255.68178,260.65808,260.62274,6.6045237,3.0649018,3.026752,260.21997,260.26523,240.84097,240.45303,259.50146,3.1879377365112305,14.91835499604543
19,120000,67.44920808620962,-267.65656,0.44788837,0.13451858,5.0848055,4.6923037,3.159591,3.1238132,265.88538,265.32663,269.93515,269.50293,5.2683496,3.167476,3.1069386,269.43585,269.02502,250.8559,250.51219,269.0869,3.064563512802124,15.962482603391011
20,125000,51.67871744861782,-261.81238,0.44779634,0.055915706,5.558989,5.5481806,2.965982,2.9960911,259.1193,259.90436,263.47095,264.15918,5.8942804,3.0695972,2.9536176,263.0797,263.76825,244.87231,245.69197,263.41476,3.1143407821655273,16.96750688155492
21,130000,67.35179988033168,-259.68057,0.4534318,0.07539833,5.8863626,5.8506107,2.998352,2.8579268,256.72827,257.13913,261.35815,261.9447,4.8314915,3.0953312,2.8758066,260.8161,261.3684,242.25241,242.96565,261.22464,3.192044496536255,18.00018279949824
22,135000,73.78964974648926,-265.97546,0.4506063,-0.111884564,5.3070803,5.4168806,2.947287,2.9729724,263.60846,263.05392,268.2381,267.70514,6.8916397,2.8596463,3.0412621,267.8719,267.3634,249.21365,248.48672,267.67822,3.0697622299194336,19.0452800989151
23,140000,63.65592573899789,-263.0534,0.4562059,-0.2451329,5.4647207,5.3468347,2.9502962,3.0244513,260.95795,260.63483,265.14386,264.94012,6.3271217,2.6876535,3.1284475,264.7234,264.49948,246.95068,246.61687,265.51648,3.036180019378662,20.069710262616475
24,145000,72.22203602197396,-265.1447,0.45637444,-0.0026444942,5.048501,5.265275,3.0579157,3.0772104,262.76602,262.34592,267.31335,267.11942,6.1511097,2.9966288,3.0608187,266.8452,266.64935,248.0817,247.88339,267.07483,3.104841709136963,20.944756186008455
25,150000,69.55817366112802,-268.59528,0.45896834,0.21752517,4.1744275,4.6216507,3.2991233,3.099038,266.09042,266.15424,270.70117,270.79184,6.0240774,3.2793174,3.1333666,270.19397,270.22662,250.71841,251.11911,269.8205,3.0905752182006836,21.648638315995534
26,155000,54.94348939910836,-258.55157,0.4613655,0.022578051,5.0409355,4.884824,3.0653286,3.1293237,255.58542,255.87076,260.38263,260.83057,5.821096,3.029187,3.1434295,259.819,260.30872,240.95018,241.31952,259.8069,3.214344024658203,22.34450433254242
27,160000,68.84817754111818,-262.664,0.46115354,-0.17593947,6.310463,6.04078,2.809873,2.9089375,259.44708,259.11987,264.6057,264.4535,6.0353518,2.772695,2.916595,264.08087,263.9421,246.139,246.07494,263.89163,3.082087993621826,23.05653264125188
28,165000,57.42187188936679,-265.71057,0.4650974,0.12991008,4.6957912,4.672121,3.0463884,2.9960024,262.5808,262.15326,267.83743,267.5968,7.8605213,3.1697044,2.899901,267.32455,267.10992,246.74637,246.53188,267.08246,3.1940107345581055,23.76228131055832
29,170000,72.80155867793775,-267.3583,0.46692824,0.05771582,5.400037,5.2201304,3.0535839,3.0929832,265.08368,265.28134,269.2901,269.34784,7.827035,3.0757842,3.0284219,268.71725,268.87054,249.04718,249.47574,269.42566,3.074343681335449,24.483502372105917
30,175000,64.42386051525564,-270.44397,0.46839193,-0.21260186,6.207817,6.3304787,2.7604773,2.7896004,267.6317,268.11594,272.10022,272.6466,7.7642417,2.719689,2.750464,271.7149,272.22675,254.1683,254.85849,271.09326,3.0427260398864746,25.205510346094766
31,180000,68.31196678668661,-268.83563,0.46945766,0.17135134,4.0405602,4.227276,3.2879007,3.1990993,265.8109,266.4081,270.66284,271.3545,6.684828,3.226602,3.174756,270.17975,270.83102,250.85973,251.46397,270.1466,3.119476795196533,25.957580284277597
