,step,reward,actor_loss,alpha,alpha_loss,cql1_loss,cql2_loss,cql_concat_q1_avg,cql_concat_q1_max,cql_concat_q1_min,cql_concat_q2_avg,cql_concat_q2_max,cql_concat_q2_min,cql_logp,cql_logp_next_action,cql_next_q1,cql_next_q2,cql_q1,cql_q2,critic_loss,logp,logp_next_action,q1,q2,random_q1,random_q2,sampled_q,target_q,batch_rewards,batch_rewards_min,batch_rewards_max,batch_discounts,batch_obs,time
0,0,1.581033935243455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,30000,6.5930962866375165,-39.696327,0.25710082,-3.8777962,220.28555,220.0032,39.59849,42.514977,36.16279,39.555283,42.453632,36.144455,0.13743638,0.37795508,39.954315,39.881508,40.009132,39.957405,2.2124672,0.14508335,0.3842369,37.17444,37.168865,37.26796,37.26289,39.733635,36.72198,1.0567123889923096,-0.7467912435531616,3.356757164001465,0.96484375,7.495976448059082,0.42554513613382977
2,35000,10.884093839722077,-85.52249,0.10144626,-0.69059885,446.01407,448.56702,83.45579,87.95708,76.873856,83.882195,88.50938,77.2113,2.6334813,2.950048,85.99763,86.3535,86.17075,86.606064,10.631201,2.6981947,2.9048107,81.40322,81.93104,81.70304,82.191086,85.79622,81.27739,1.1598862409591675,-0.34258556365966797,3.8200182914733887,0.9765625,8.108890533447266,0.7715858578681946
3,40000,9.72675477542675,-126.84527,0.09691492,-1.3495001,657.5288,655.8882,124.88861,130.40538,115.98692,124.53962,130.06383,115.48868,2.4644692,2.8151636,127.83668,127.34633,128.18144,127.80173,18.679232,2.4217887,2.8976967,121.30261,121.23034,121.84787,121.670975,127.07999,121.159035,1.484682559967041,-0.7815327048301697,4.231316089630127,0.9609375,8.482616424560547,1.1277339458465576
4,45000,11.621011595996741,-151.49155,0.089114666,-0.23515597,782.6638,777.8773,149.62244,155.47177,140.05806,148.66742,154.54642,139.34299,2.9636228,3.0601923,153.22134,152.0073,153.62372,152.42355,11.979271,2.902741,3.0248303,146.80511,146.30798,145.96663,145.51578,151.75021,146.62836,1.5930039882659912,-0.3718361258506775,4.584214687347412,0.98046875,9.441448211669922,1.4804461598396301
5,50000,11.328593847189751,-175.76614,0.12720563,0.04261309,909.4906,898.6094,174.72363,180.93727,163.90465,172.78146,178.70242,162.16269,2.937719,3.1163712,178.21191,176.31424,178.72084,176.5999,13.345707,3.0206664,3.0657403,170.84154,168.93652,171.2128,169.40488,176.15039,170.44159,1.5276278257369995,-0.3238721191883087,4.479942798614502,0.9609375,9.03245735168457,1.8411938707033793
6,55000,11.713183457323154,-181.47171,0.105016105,0.07055336,930.3152,932.7312,178.58414,185.09396,166.42563,179.11725,185.51016,167.02121,3.1144817,3.2139564,182.19778,182.86888,182.65335,183.23741,27.310322,3.0313063,3.193386,176.48889,176.80147,175.15025,175.49442,181.79005,177.0944,1.632714867591858,-0.6767874956130981,4.242444038391113,0.96875,9.520282745361328,2.217968503634135
7,60000,9.917039784352921,-185.80273,0.12001251,0.5050642,951.7251,955.6449,183.18782,189.40274,169.47011,184.10402,190.15417,170.3555,2.8613038,3.2390935,186.7332,187.53925,187.06274,187.86179,33.48194,3.23822,3.1027994,180.29092,180.92603,179.78845,180.93195,186.19135,179.60997,1.80893874168396,0.03799368441104889,4.519132137298584,0.9765625,10.154829025268555,2.595891773700714
8,65000,16.018530137096793,-189.2059,0.11367076,0.32329184,970.2549,967.1716,186.07443,193.08395,173.64484,185.6549,192.43571,173.55139,3.0926256,3.4573455,190.53761,190.17372,191.13979,190.6146,43.030994,3.1486776,3.4428964,180.99382,180.4903,181.01642,180.64696,189.5638,181.11978,1.8313008546829224,-0.14962272346019745,4.623621463775635,0.9765625,9.828215599060059,2.9861223101615906
9,70000,21.17814553749973,-186.73328,0.10183073,-0.6320569,960.20044,956.8403,185.09586,190.99715,175.00348,184.2963,190.3529,174.7197,2.895805,3.352374,188.34717,187.356,188.55798,187.78748,16.330551,2.7233212,3.3256428,184.10507,182.98013,182.55109,181.91412,187.01059,183.91324,1.903509259223938,-0.24827973544597626,4.409806728363037,0.96875,10.049245834350586,3.3871588031450908
