,step,reward,actor_loss,critic_loss,max_q1,min_q1,q1,eval_time,eval_step,time
0,0,9.295632360216235,,,,,,,,
1,10000,9.153093719337965,,,,,,,,
2,20000,9.097786758735753,,,,,,,,
3,30000,146.22367706177027,-18.859268,2.8167298,33.003784,-3.6119146,16.870872,0.18213319778442383,80.8,0.21746906042098998
4,40000,267.79749713940225,-69.242935,32.18576,108.62449,-14.6656,64.728905,0.2664499282836914,116.6,0.3679228107134501
5,50000,300.0601783625874,-109.64082,23.094837,155.22191,-13.629955,104.62666,0.3377056121826172,151.3,0.5173687815666199
6,60000,268.23539479146996,-123.262115,28.558022,181.03455,-14.100119,118.127,0.2391643524169922,106.4,0.6633421937624614
7,70000,299.4991835164866,-138.66525,42.902557,187.25188,-33.06109,133.73761,0.2931976318359375,122.7,0.8303778767585754
8,80000,287.0761556070359,-139.91367,42.596664,184.68817,-28.174173,134.59872,0.26939988136291504,116.6,0.9841904441515604
9,90000,292.9620514457657,-136.20598,28.276222,181.7974,-10.3515,132.73535,0.28618407249450684,125.0,1.136739452679952
10,100000,320.5356077729025,-133.69713,12.2143135,175.39415,-45.60381,130.58023,0.31311798095703125,126.2,1.3013742884000143
11,110000,334.7412394493675,-131.6979,37.277386,168.84143,-23.724768,128.0571,0.29915952682495117,130.8,1.4551172852516174
12,120000,317.8401157161695,-125.008026,13.452567,168.33092,-7.03038,122.25633,0.35190439224243164,137.5,1.6179590264956156
13,130000,514.6118821517666,-131.1526,22.334333,172.55693,-34.699184,127.944595,0.3704402446746826,162.1,1.7789454897244772
14,140000,569.047108426971,-131.88689,22.339346,179.23521,-4.9509263,128.68689,0.40700387954711914,180.1,1.9335084358851116
15,150000,688.0452319193116,-141.93607,12.226961,201.51036,-4.6339955,140.29689,0.5350668430328369,213.9,2.094755772749583
16,160000,607.4368207874821,-148.40634,12.634379,221.12631,-5.164692,145.63564,0.4775717258453369,208.5,2.259146257241567
17,170000,737.8838534020039,-158.46924,15.9373045,227.4388,-42.912556,156.0329,0.5375466346740723,234.7,2.4190288464228313
18,180000,773.4794747064185,-171.63617,40.51032,244.71643,-37.74656,168.26501,0.5429391860961914,234.7,2.5761403997739154
19,190000,801.418762255429,-174.79326,14.557166,251.13863,-0.23062846,171.85158,0.5718131065368652,252.4,2.736107015609741
20,200000,840.7227779110532,-179.64256,48.25992,272.73898,-2.5767598,176.22342,0.5582430362701416,245.6,2.89533474445343
21,210000,1013.8190864263024,-193.80986,18.635317,299.07504,-9.95977,190.63443,0.7611880302429199,330.2,3.057010364532471
22,220000,957.2099672804031,-198.16382,13.948766,295.218,-85.161644,195.56384,0.6075661182403564,270.9,3.2134540637334186
23,230000,2636.8718333099996,-201.41318,77.26239,284.13406,-5.4725976,196.72855,2.1783549785614014,976.6,3.398087441921234
24,240000,3181.6314388042474,-196.40607,14.908434,283.28015,-64.909775,193.70528,2.421008348464966,1000.0,3.5859116673469544
25,250000,3048.836463017091,-209.91612,17.841412,284.38916,-13.686896,205.49908,2.2017996311187744,973.0,3.7713720838228864
26,260000,1085.783243590267,-214.39764,15.164666,295.47052,-10.512152,211.43674,0.8144843578338623,359.2,3.9337301373481752
