,step,reward,actor_loss,critic_loss,max_q1,min_q1,q1,eval_time,eval_step,time
0,0,114.66286082182792,,,,,,,,
1,10000,112.22423520537014,,,,,,,,
2,20000,106.486846506136,,,,,,,,
3,30000,220.05440560825983,-60.153503,17.984514,74.1742,-5.123148,57.168438,0.2877326011657715,43.1,0.3487380584081014
4,40000,275.3247775791143,-125.86737,50.31372,182.88164,-11.818288,120.70004,0.32001781463623047,51.7,0.5977438886960348
5,50000,420.399563138584,-175.1815,100.1568,266.86105,1.0750176,165.08397,0.45099639892578125,82.2,0.829532015323639
6,60000,294.5244732221617,-172.4497,99.24518,264.94995,-4.690701,163.14236,0.29986143112182617,56.4,1.0617259860038757
7,70000,456.38805300612586,-161.30257,82.39391,269.61343,0.16708252,154.72118,0.49893665313720703,90.0,1.2938920855522156
8,80000,436.9608368346222,-166.81723,118.858665,281.15137,-8.006814,159.08255,0.4595303535461426,87.6,1.543885886669159
9,90000,371.6665966018053,-157.77542,82.20373,283.87732,-25.333347,151.09317,0.35306692123413086,72.3,1.7727415005366007
10,100000,378.1457590675624,-137.62228,79.07718,267.02722,-0.95059025,132.2446,0.38973093032836914,73.3,2.0003960927327475
11,110000,430.6998553014322,-145.1576,60.96689,247.81781,-1.1011894,140.98096,0.43924832344055176,85.6,2.2382657408714293
12,120000,500.9284889804605,-140.92062,47.586285,244.3851,5.3628836,135.74051,0.5093362331390381,100.8,2.4647421916325887
13,130000,538.4348408633384,-149.71744,51.512363,243.94011,2.690724,145.06268,0.53615403175354,103.8,2.692453217506409
14,140000,467.3214522308666,-144.0383,53.09753,250.29607,-4.0821066,140.01494,0.4854753017425537,97.5,2.9253950556119284
15,150000,581.2028551119108,-137.24756,53.77978,251.78363,2.3637145,132.62775,0.5935609340667725,114.6,3.157174050807953
16,160000,642.3784283065354,-138.68002,45.605278,255.291,-0.9248916,134.63293,0.6196956634521484,126.9,3.3981857617696125
17,170000,479.47472181479816,-143.72685,55.84955,253.56688,1.319382,139.72955,0.4609057903289795,93.6,3.6258623282114666
18,180000,545.1268320398191,-148.15251,43.044052,260.98807,-1.9290814,144.20506,0.5602321624755859,109.4,3.8536447525024413
19,190000,594.6474440299569,-151.0509,51.526024,265.523,2.3072443,147.32675,0.5618112087249756,115.1,4.084057577451071
20,200000,617.6019701130873,-156.50395,50.227642,269.67783,-4.421127,152.93723,0.6098883152008057,121.6,4.3176132321357725
21,210000,692.9185321116319,-156.73341,60.413826,275.2408,-2.0173774,152.1057,0.6742610931396484,135.4,4.550739896297455
22,220000,690.5124878489269,-162.74594,45.95871,274.6352,4.3474627,157.91103,0.6812739372253418,133.6,4.784751931826274
23,230000,864.6187232422208,-172.43268,46.882828,287.46072,2.680785,168.55556,0.8392832279205322,172.0,5.020643285910288
24,240000,918.1370998571965,-168.53851,52.885174,291.5168,2.1422725,164.21233,0.89813232421875,178.8,5.254702297846476
25,250000,631.3015716369528,-168.46698,59.16387,295.157,-3.7104483,163.84717,0.5917453765869141,121.6,5.483424119154612
26,260000,765.7013465034775,-165.06847,58.942436,300.37518,2.405656,160.54831,0.7429893016815186,147.5,5.718077099323272
27,270000,1006.3609166860003,-176.02133,62.70081,310.5882,-1.7294328,171.33832,0.9984498023986816,200.5,5.9537837386131285
28,280000,1127.2203451215541,-181.23132,65.75364,316.9906,-6.616089,176.85872,1.1039249897003174,220.7,6.192151824633281
29,290000,1187.4218692603113,-178.37279,57.480957,322.25793,3.271559,174.43732,1.1473722457885742,232.0,6.432279606660207
30,300000,1524.6990351312018,-192.9108,63.771755,329.7136,-0.73766035,188.21495,1.5986897945404053,309.3,6.6793667833010355
31,310000,1181.7731060019833,-196.45717,68.6074,338.49347,1.3521869,192.1218,1.228074073791504,238.0,6.9227503379185995
32,320000,1100.188887740796,-192.52927,84.95802,345.33737,5.1834826,187.19804,1.0827078819274902,215.2,7.161652902762095
