,step,reward,actor_loss,critic_loss,max_q1,min_q1,q1,eval_time,eval_step,time
0,0,-13.070094802262101,,,,,,,,
1,10000,-13.210077056362774,,,,,,,,
2,20000,-13.19394904565922,,,,,,,,
3,30000,166.97958282395751,-14.869507,3.8358788,44.73309,-5.201179,12.464252,0.661454439163208,281.9,0.22805958191553752
4,40000,167.68847063504705,-46.450546,15.827415,81.756134,-13.130455,43.481354,0.5847842693328857,240.1,0.4086649179458618
5,50000,333.5759890292516,-61.712345,24.77562,100.27365,-31.81013,57.58271,0.39293456077575684,162.8,0.5671179215113322
6,60000,332.1216258015633,-78.7207,27.709286,125.548836,-7.749773,74.95609,0.4461688995361328,191.1,0.7252984404563904
7,70000,382.2999877525886,-91.37125,30.424072,140.78456,-4.634761,87.96885,0.5677878856658936,222.3,0.8860844214757283
8,80000,228.63556565714833,-97.09619,26.62164,154.59995,-33.445053,93.94861,0.40110087394714355,158.7,1.0438619017601014
9,90000,258.93013166657227,-100.15001,22.460516,133.79353,-3.3923533,96.01013,0.35437750816345215,145.9,1.2020240465799967
10,100000,351.0152228983642,-101.30568,21.542934,163.48215,-10.7197075,97.036865,0.4757864475250244,192.6,1.3614737431208292
11,110000,334.3327010859205,-106.11516,32.850426,148.8132,-8.556325,102.03119,0.4483628273010254,188.6,1.5222686926523845
12,120000,624.1319736205386,-107.009346,21.793795,165.37836,-17.870821,102.83989,0.85127854347229,335.1,1.6891463677088419
13,130000,364.8012373302506,-108.61731,23.329504,162.36446,-5.897211,105.12706,0.4313051700592041,176.5,1.8486925443013509
14,140000,597.5214935687139,-111.39514,26.669464,165.99643,-21.825064,107.6602,0.5689756870269775,239.3,2.010844119389852
15,150000,356.6517078466751,-111.9947,21.280535,167.70253,-8.0067215,109.58323,0.4608194828033447,191.2,2.1711618304252625
16,160000,458.0461048303684,-114.33112,29.031612,185.93008,-6.327279,111.74289,0.5193467140197754,206.9,2.331121643384298
17,170000,553.4547327540224,-109.550064,30.371807,167.85779,-36.852478,106.59584,0.6001801490783691,251.2,2.4940495053927103
18,180000,383.95776333067676,-112.25424,33.407143,178.43439,-23.309134,109.07172,0.43660712242126465,183.5,2.6531597495079042
19,190000,790.2917744745398,-118.756775,29.436758,182.30727,-16.044426,116.95018,0.7231807708740234,306.2,2.816170124212901
20,200000,470.88208440686793,-119.57204,29.90142,175.06238,-26.106472,116.17923,0.4353499412536621,181.1,2.9757278760274253
21,210000,466.72372372240125,-121.687225,32.922493,186.79364,-23.041422,119.172455,0.4961221218109131,208.4,3.13727027575175
22,220000,571.3653554903843,-125.26095,42.50556,192.61397,-15.186864,121.97545,0.5063581466674805,208.3,3.297341803709666
