,step,reward,actor_loss,alpha,alpha_loss,critic_loss,logp,next_q,q1,sampled_q,target_q,eval_time,eval_step,time
0,0,538.7707546150419,,,,,,,,,,,,
1,10000,170.631698476031,,,,,,,,,,,,
2,20000,556.0530924489633,-38.7155,0.106548175,0.55976844,9.27194,-1.2536662,38.689995,37.887016,38.581924,37.707172,5.1632983684539795,1000.0,0.5292125821113587
3,30000,264.85952176274117,-27.348415,0.024404692,0.009718504,5.3998485,3.6017773,27.507278,26.805315,27.436317,26.81757,2.717900514602661,596.6,0.783551025390625
4,40000,409.06683097132253,-25.60333,0.026930513,-0.00047225424,5.867133,4.017536,25.474072,25.191902,25.711525,25.14106,3.2128207683563232,717.0,1.0422941366831462
5,50000,584.0243460866783,-25.844135,0.02804285,0.00042499136,5.9233193,3.984845,25.755363,25.714853,25.955883,25.46805,4.231401443481445,908.2,1.320522916316986
6,60000,616.4376090349049,-27.518196,0.028523002,0.001974069,4.870776,3.9307902,27.404688,27.124779,27.630316,27.079342,3.8968067169189453,727.8,1.5954843918482462
7,70000,512.6405721690535,-28.723333,0.02908485,-0.01056031,6.8571987,4.363086,28.841934,28.254448,28.850235,28.713604,2.8717916011810303,585.2,1.8529956022898355
8,80000,813.1940266915831,-34.158936,0.030636039,0.012281217,6.0526724,3.599125,33.934464,34.0148,34.2692,33.832745,3.707606792449951,804.1,2.121574568748474
9,90000,343.9022744318129,-39.37056,0.032503214,-0.00021536811,5.5183277,4.006626,39.127167,38.931114,39.500786,38.925835,2.0250329971313477,448.5,2.361468021074931
10,100000,577.7305102864036,-45.22158,0.033758137,0.0009272471,8.968124,3.9725325,45.04004,44.760666,45.355682,44.693657,2.7512621879577637,566.1,2.611332170168559
11,110000,752.7451130956746,-50.053017,0.036247116,-0.00091774296,6.1708803,4.025319,49.646492,49.70177,50.19892,49.642094,2.948516845703125,608.3,2.867545413970947
12,120000,1301.4438209426473,-57.36602,0.0383153,-0.006755613,7.4768906,4.1763163,57.0987,56.976448,57.52604,57.028893,3.4149832725524902,772.8,3.1337210734685264
13,130000,960.9208491329233,-64.499084,0.03907177,-0.016458299,10.756958,4.421232,63.897575,63.91441,64.67184,63.719585,3.34609055519104,655.5,3.393357312679291
14,140000,1229.7265260258396,-70.416405,0.040945377,-0.001455677,9.664942,4.035552,70.27725,69.815125,70.58164,69.86867,3.3970630168914795,773.2,3.65670595963796
15,150000,1469.1066426281618,-73.14187,0.041471064,-0.0024628872,12.603137,4.059388,72.72389,72.476395,73.31023,72.507126,3.226935863494873,697.4,3.9170323689778646
16,160000,1133.9597076757032,-77.3037,0.042582303,-0.011178955,24.9559,4.262526,76.73574,76.46151,77.485214,76.28342,3.462383508682251,742.5,4.185614450772603
17,170000,1409.6855376206247,-84.21922,0.044307236,-0.0022609911,18.283154,4.05103,83.99269,84.01741,84.39871,83.907745,3.374361991882324,776.1,4.445745555559794
18,180000,1446.7326136072438,-93.997574,0.044976905,0.002690616,10.90001,3.9401777,93.71893,93.73479,94.17479,93.64233,3.611485242843628,786.9,4.715255852540334
19,190000,1655.958580399465,-94.25247,0.046004776,-0.015164478,14.469748,4.329628,94.39563,94.17449,94.451645,94.28873,4.142192125320435,930.1,4.989028306802114
20,200000,1801.218414989526,-96.45811,0.04793873,-0.01291054,12.3030205,4.2693133,96.289665,96.18455,96.66277,96.23436,3.561291456222534,790.7,5.257516952355703
21,210000,1878.4221350981989,-99.110916,0.048782572,0.021410884,17.75644,3.5610957,99.2052,99.11027,99.28463,99.21655,4.213773250579834,811.8,5.5368049542109175
22,220000,1201.3089324656673,-107.67494,0.050149295,0.00966447,16.683025,3.807286,107.23132,107.255356,107.865875,107.155685,2.3676540851593018,516.1,5.7834348996480305
23,230000,1925.9602933599392,-114.204414,0.051895883,0.0020121438,16.442442,3.9612274,113.78569,113.98129,114.40999,113.73772,3.423180103302002,772.7,6.04447695016861
24,240000,2522.893332122162,-116.07912,0.054037955,0.012091699,20.078098,3.776237,116.83942,116.13915,116.28317,116.829216,4.566051244735718,983.9,6.326999978224436
25,250000,2055.482056428301,-117.67728,0.054763947,0.0038624434,14.4321,3.929471,117.6375,117.36845,117.89247,117.58773,4.153822898864746,912.0,6.6041203538576765
26,260000,2585.330053422556,-123.29201,0.057903137,0.005276642,25.65819,3.9088712,122.75885,123.1017,123.51835,122.77047,4.61651873588562,1000.0,6.887411526838938
27,270000,1621.328793227668,-128.14474,0.05887657,0.0027755243,15.583322,3.9528587,128.07617,127.935135,128.37747,128.09581,2.8285183906555176,627.0,7.137540825208029
28,280000,2328.8354704084377,-128.24573,0.06117728,-0.004725286,22.454473,4.077239,128.70856,127.96507,128.49518,129.18327,3.9210212230682373,910.6,7.409953379631043
29,290000,2079.3993670388777,-145.92758,0.061673917,0.0006837605,24.908781,3.9889135,145.85347,145.49802,146.1736,145.95322,3.821688652038574,840.0,7.680475012461344
30,300000,2336.6213973139666,-144.19092,0.0638772,-0.0086472295,27.205433,4.135372,144.20596,144.02336,144.45508,144.16635,3.8709471225738525,787.9,7.948385310173035
31,310000,3188.8738358948603,-153.1979,0.06476862,0.02062803,14.423784,3.681512,152.82318,153.1995,153.43636,152.8163,4.279303789138794,926.8,8.229096961021423
32,320000,3217.424923317291,-154.34995,0.066488124,0.007590848,30.651684,3.8858316,154.36299,153.9202,154.6083,154.25546,4.217682361602783,931.5,8.505886383851369
33,330000,3402.062245307985,-158.1677,0.068043165,-0.0019586054,20.16024,4.0287848,158.1482,157.83838,158.44183,157.9474,4.332469701766968,945.2,8.785144205888113
34,340000,2582.9572992101757,-163.30338,0.06976528,-0.017210798,46.93399,4.246696,163.86794,163.21286,163.59967,163.22084,3.3104565143585205,750.1,9.044143839677174
35,350000,3058.136735727977,-172.83725,0.072425164,-0.0038954346,20.35921,4.053786,172.75627,172.46507,173.13084,172.37027,3.6426851749420166,796.4,9.311210417747498
36,360000,3526.040229132706,-186.38957,0.07331484,0.017004225,31.050209,3.7680655,186.06616,186.1,186.66583,186.09766,4.492286920547485,941.3,9.591241165002186
37,370000,3047.723881511013,-175.2979,0.0782244,-0.007834222,46.854046,4.1001506,174.7199,174.47903,175.61862,174.63907,3.7017672061920166,777.2,9.860052994887035
38,380000,4079.986019009191,-174.52701,0.07939852,0.017299365,29.030502,3.78212,174.06111,173.8489,174.8273,173.74863,4.405566215515137,1000.0,10.138555415471394
39,390000,3930.193128172285,-193.69647,0.08425021,-0.0076407217,49.034397,4.0906906,194.24617,193.44376,194.0411,194.2954,4.186696767807007,961.4,10.41672035853068
40,400000,3451.6697329323833,-192.65683,0.08444113,0.012147923,24.164404,3.8561373,192.7398,192.6027,192.98245,192.62738,3.9133543968200684,912.0,10.690749593575795
41,410000,4144.07791527402,-201.19615,0.08788048,-0.052952133,50.792088,4.6025476,200.77083,201.24387,201.60063,200.6465,4.44403338432312,1000.0,10.96998526652654
42,420000,4053.4777751901465,-198.67209,0.088776715,0.017966785,63.956383,3.7976184,198.4719,198.168,199.00922,198.39725,4.72562050819397,1000.0,11.255988097190857
43,430000,3634.9268448337943,-214.71182,0.090796724,0.029244302,42.635887,3.6779146,214.77948,213.90968,215.04578,213.897,4.360111951828003,931.1,11.538457028071086
44,440000,4416.074241747034,-221.55936,0.095314026,-0.04275467,33.85208,4.4485664,221.52629,221.5252,221.98337,221.37292,4.820127248764038,1000.0,11.823913212617239
