,step,reward,actor_loss,alpha,alpha_loss,critic_loss,logp,next_q,q1,sampled_q,target_q,eval_time,eval_step,time
0,0,1.4259696559365902,,,,,,,,,,,,
1,10000,1.5706798115617633,,,,,,,,,,,,
2,20000,11.73208478858442,-47.788746,0.09389277,0.655208,0.039484605,-3.978258,47.93568,47.428482,47.415215,47.46038,2.7539448738098145,1000.0,0.4362286607424418
3,30000,103.44932194835523,-33.71187,0.010805238,0.053325538,0.024887942,-1.9351562,34.01244,33.68534,33.690956,33.6839,2.696795701980591,1000.0,0.6592985550562541
4,40000,78.49273217753137,-23.84591,0.0055372594,-0.0015821557,0.026817866,3.2857292,23.960358,23.771568,23.864105,23.745564,2.7232778072357178,1000.0,0.8822364250818888
5,50000,102.58532499543068,-18.453945,0.00549871,-7.4841606e-05,0.03145084,3.0136108,18.509842,18.385712,18.470516,18.354294,2.7369256019592285,1000.0,1.1050755421320597
6,60000,179.3098707734822,-15.606951,0.005313315,0.001513999,0.036279663,2.7150557,15.654413,15.534687,15.621376,15.543125,2.6960854530334473,1000.0,1.3274088025093078
7,70000,199.87550488529516,-14.081903,0.0055438024,-0.00068374316,0.0707033,3.123335,14.051267,14.025211,14.099217,13.970491,2.763288974761963,1000.0,1.5549758275349934
8,80000,249.18370892063626,-14.708944,0.0057053533,0.00056295807,0.052594084,2.901328,14.706734,14.644312,14.725498,14.641117,2.7121212482452393,1000.0,1.7779034654299417
9,90000,305.8705569048332,-14.720377,0.0063287234,-0.004374831,0.10884559,3.691266,14.7766285,14.696394,14.743738,14.724661,2.7029032707214355,1000.0,2.000609076023102
10,100000,328.7146286935066,-14.432126,0.0068331575,-2.1430082e-05,0.06677864,3.0031362,14.421514,14.3496895,14.452648,14.372919,2.6153180599212646,1000.0,2.222956963380178
11,110000,359.23160730387247,-16.860374,0.0072707157,0.0020382856,0.08050184,2.7196584,16.8921,16.792343,16.88015,16.855627,2.669903039932251,1000.0,2.444865604241689
12,120000,369.554990308843,-18.32009,0.007830854,0.0005181023,0.091722906,2.9338384,18.304111,18.241209,18.343063,18.267227,2.7111587524414062,1000.0,2.6707335273424784
13,130000,369.92254941842583,-19.195797,0.008635378,0.0028506392,0.08527622,2.6698883,19.170963,19.139189,19.218853,19.133327,2.670771598815918,1000.0,2.8912800113360086
14,140000,413.0405894894867,-20.447933,0.009236866,0.005035667,0.10865008,2.4548297,20.456238,20.387568,20.470608,20.414913,2.8361129760742188,1000.0,3.116587285200755
15,150000,442.15248552403517,-22.444077,0.009445195,0.00397654,0.07997778,2.578988,22.41111,22.385418,22.468433,22.370146,2.7779271602630615,1000.0,3.3404070099194842
16,160000,457.4099023627453,-24.17331,0.010545824,0.0041585416,0.13125247,2.6056695,24.128849,24.137403,24.200787,24.09299,2.694431781768799,1000.0,3.5661563634872437
17,170000,362.1306547635363,-23.80458,0.010832947,0.004105624,0.15475036,2.6210058,23.854898,23.79012,23.832973,23.820993,2.727297306060791,1000.0,3.7893104712168375
18,180000,504.2341635670461,-26.60862,0.011492721,-0.0091671385,0.10860069,3.7976475,26.623053,26.583355,26.652267,26.582771,2.7368061542510986,1000.0,4.014533305168152
19,190000,511.6502183795643,-27.611526,0.011712465,0.0016005153,0.13393678,2.8633494,27.654222,27.59677,27.645065,27.624723,2.7447898387908936,1000.0,4.238060164451599
20,200000,538.8035604653107,-29.147488,0.012184375,-0.0061500184,0.2635974,3.5047464,29.147587,29.132212,29.190191,29.121014,2.662299871444702,1000.0,4.4618035117785135
21,210000,562.8994973144615,-29.909332,0.0123395035,0.00031789835,0.2493471,2.9742374,29.864914,29.899504,29.946033,29.82677,2.7464163303375244,1000.0,4.688088544209799
22,220000,572.0166752603606,-31.10804,0.012896596,0.0067668133,0.11655234,2.4753022,31.029371,31.075989,31.139961,30.989563,2.6852431297302246,1000.0,4.909211226304373
23,230000,581.1961087507027,-33.83657,0.013071067,0.008699246,0.126915,2.3344655,33.82067,33.806465,33.86709,33.78398,2.6095423698425293,1000.0,5.134072780609131
24,240000,625.883431963806,-34.764748,0.013537718,0.003800206,0.1276259,2.7192874,34.83785,34.768074,34.80156,34.795574,2.730954170227051,1000.0,5.3577418287595115
25,250000,644.9171046617665,-38.29898,0.013811716,-0.0015720194,0.14546172,3.113818,38.339714,38.29366,38.341988,38.30465,2.6863176822662354,1000.0,5.58256706794103
26,260000,633.0287008094973,-36.47049,0.013777374,0.009419169,0.15279666,2.3163304,36.483227,36.48564,36.502403,36.435707,2.728226900100708,1000.0,5.810451205571493
27,270000,644.801727057905,-39.002605,0.014546985,-0.0065455744,0.2314476,3.4499607,39.06459,38.973953,39.052795,39.014442,2.7096502780914307,1000.0,6.034364724159241
28,280000,679.7461027393832,-38.089493,0.015048944,0.008738481,0.32608625,2.4193294,38.155678,38.09852,38.125904,38.10755,2.791491985321045,1000.0,6.258439671993256
29,290000,687.6676425395477,-41.41471,0.015013067,-0.002529894,0.20645061,3.1685128,41.306946,41.36635,41.46228,41.262146,2.651425361633301,1000.0,6.484416055679321
30,300000,708.5036283722105,-42.68814,0.01493123,0.010120103,0.20531005,2.322219,42.71113,42.669724,42.722816,42.66018,2.8126425743103027,1000.0,6.711244221528371
31,310000,710.1465068936252,-43.890938,0.014977231,0.002896863,0.15824965,2.8065822,43.900345,43.82071,43.932976,43.83863,2.750486373901367,1000.0,6.936572913328806
32,320000,744.4379018218099,-45.52328,0.015048192,-0.0012343847,0.2955125,3.0820289,45.45555,45.50248,45.56966,45.400913,2.704390525817871,1000.0,7.162221693992615
33,330000,724.1186883128687,-45.94055,0.014957787,0.0028632018,0.14536923,2.8085814,45.993042,45.920864,45.98256,45.92395,2.68757700920105,1000.0,7.384863293170929
