,step,reward,actor_loss,alpha,alpha_loss,critic_loss,logp,next_q,q1,sampled_q,target_q,eval_time,eval_step,time
0,0,0.0014109793248195611,,,,,,,,,,,,
1,10000,0.002908345013501612,,,,,,,,,,,,
2,20000,0.0144426437538695,-31.726942,0.094688684,0.42547774,0.04662873,-2.4934378,31.868069,31.52097,31.49084,31.549389,3.4581968784332275,1000.0,0.47969671090443927
3,30000,0.0010321429036273533,-22.121273,0.010868419,0.036596045,0.015597709,-1.367191,22.301695,22.117401,22.106415,22.078678,3.241253137588501,1000.0,0.7143329183260599
4,40000,0.00018566349679575156,-14.266817,0.0019121644,0.0007374863,0.0037717759,1.6143186,14.4156685,14.263036,14.269903,14.271513,3.369600772857666,1000.0,0.9550204356511434
5,50000,5.617950709349007e-05,-9.283012,0.0008870317,0.00031497577,0.0011718387,1.6449105,9.374485,9.289834,9.2844715,9.28074,3.4375927448272705,1000.0,1.1995074550310771
6,60000,0.0,-5.864348,0.00053719775,0.00013329327,0.0006467005,1.751873,5.921076,5.862319,5.865289,5.861866,3.4168808460235596,1000.0,1.4392669637997946
7,70000,0.7641415640407604,-3.7813683,0.0003008536,2.0848693e-05,0.00019871356,1.9307015,3.8217845,3.7811494,3.781949,3.7835665,3.3875656127929688,1000.0,1.6814542571703592
8,80000,0.0010361184804628554,-2.4100137,0.00024054841,-4.744028e-05,0.00010126654,2.197217,2.430323,2.4068913,2.4105422,2.4060197,3.42350435256958,1000.0,1.9280115485191345
9,90000,0.13560235480327626,-1.5593674,0.0005221308,0.00014404597,0.00070260116,1.724119,1.5757868,1.5586084,1.5602677,1.560029,3.5195844173431396,1000.0,2.173538859685262
10,100000,0.32048173362956445,-1.4295813,0.0010560774,-1.5159389e-05,0.0013497515,2.0143545,1.4303331,1.4170179,1.4317086,1.4160298,3.4808433055877686,1000.0,2.4188803593317667
11,110000,1.7404668539057453,-1.3668828,0.0013445264,-0.00056493725,0.0029593674,2.4201756,1.3596287,1.3532414,1.3701369,1.3473177,3.328378438949585,1000.0,2.6610389788945517
12,120000,4.052590144854059,-1.9167885,0.0029635953,-0.00029502838,0.027649269,2.0995507,1.888999,1.8849703,1.9230107,1.8705442,3.3590662479400635,1000.0,2.904588532447815
13,130000,3.154413566866173,-2.3280041,0.0021012092,0.00034601567,0.011527655,1.8353255,2.3106515,2.307269,2.3318605,2.287545,3.5741913318634033,1000.0,3.153100144863129
