,step,reward,actor_loss,alpha,alpha_loss,critic_loss,logp,next_q,q1,sampled_q,target_q,eval_time,eval_step,time
0,0,26.329356817219253,,,,,,,,,,,,
1,10000,23.599372046765623,,,,,,,,,,,,
2,20000,55.78161004319859,-93.4803,0.10433119,0.7807188,5.2056313,-1.483082,93.531876,92.813255,93.32557,92.77143,4.898263931274414,1000.0,0.6115153153737386
3,30000,104.90839795016245,-76.17203,0.022963297,0.02636249,1.7693527,4.8519726,76.720314,76.0703,76.28345,76.12265,5.074930906295776,1000.0,0.9282090465227762
4,40000,253.57075031347986,-57.107315,0.0096367225,0.0024300048,0.64820147,5.747839,57.296516,57.01976,57.162704,56.922234,4.899981498718262,1000.0,1.2376408616701762
5,50000,154.4454068696982,-42.08769,0.004721742,-0.0013047189,0.29379058,6.2763214,42.32682,42.092987,42.117325,42.09974,4.935370445251465,1000.0,1.5498866319656373
6,60000,59.13638064682033,-33.777332,0.0027904545,0.0027891998,0.124921694,5.00045,33.92812,33.826202,33.791286,33.791443,4.901879072189331,1000.0,1.8652549942334493
7,70000,15.082824156896274,-27.233194,0.0018917768,-0.0017951415,0.08348319,6.9489183,27.35017,27.264826,27.24634,27.26596,4.997856616973877,1000.0,2.1827161153157553
8,80000,62.86166291702038,-20.94781,0.001286373,0.0005709527,0.046297435,5.5561533,21.013145,20.925648,20.954956,20.956024,4.929203271865845,1000.0,2.4949773788452148
9,90000,166.48705719668968,-20.449917,0.0010782216,0.0002118723,0.10671188,5.8034983,20.583864,20.465618,20.456173,20.540443,5.105794668197632,1000.0,2.812486469745636
10,100000,44.01573043845143,-18.809044,0.0009037779,-0.0013367652,0.05139041,7.479086,18.857124,18.770466,18.815804,18.81992,4.743859052658081,1000.0,3.1198097825050355
11,110000,226.606224812764,-17.565502,0.0010157708,0.00028823034,0.07723933,5.716244,17.496742,17.495527,17.571308,17.461367,4.9163453578948975,1000.0,3.4301124175389606
12,120000,252.13147955212497,-18.376179,0.0010814959,-0.001931798,0.11105505,7.7862277,18.414896,18.319984,18.384598,18.382467,4.9288036823272705,1000.0,3.7435951828956604
13,130000,297.5595894705535,-15.080838,0.0032274346,0.0056452523,0.120772675,4.2508545,15.091495,15.01759,15.094557,15.054911,4.882562637329102,1000.0,4.057182196776072
14,140000,356.698638424505,-18.511547,0.0034687484,-0.00014544948,0.12641992,6.0419316,18.457108,18.422033,18.532505,18.408066,5.009488821029663,1000.0,4.377450188000997
15,150000,337.3780846617533,-20.02909,0.004896889,-0.0024352462,0.22197084,6.497305,19.982286,19.89677,20.06091,19.928493,5.112340927124023,1000.0,4.692568739255269
16,160000,367.9339095518495,-23.410316,0.00430842,0.003039584,0.41817752,5.2945013,23.342793,23.29865,23.433125,23.26759,4.959422588348389,1000.0,5.01042066415151
17,170000,454.3340643582328,-28.485607,0.005162364,0.0060126744,0.32557932,4.8352866,28.504692,28.36641,28.510569,28.416645,4.9436867237091064,1000.0,5.326998150348663
18,180000,479.3266304321184,-30.901157,0.004343663,0.0019893176,0.25903267,5.5420184,30.869972,30.785498,30.925232,30.772358,5.006093978881836,1000.0,5.637216142813364
19,190000,474.1332911128869,-31.596952,0.0049758777,-0.0010528932,0.36194035,6.2115993,31.6058,31.449919,31.627861,31.490211,4.9600067138671875,1000.0,5.9489924510320025
20,200000,489.33124150292986,-34.5103,0.0048825354,0.0045124125,0.22597417,5.0758057,34.457848,34.41398,34.535084,34.342808,5.021939277648926,1000.0,6.261287879943848
21,210000,479.7731599828856,-36.852566,0.004104931,0.00011824444,0.19948116,5.9711943,36.83657,36.780903,36.877075,36.723495,5.065166711807251,1000.0,6.580860551198324
22,220000,532.994758391379,-36.43671,0.0044029676,0.0019798335,0.21321774,5.550341,36.425514,36.374516,36.46115,36.320236,4.9789910316467285,1000.0,6.8957564314206445
23,230000,553.9808877517479,-37.124596,0.004414677,0.0022825478,0.20641729,5.4829636,37.124634,37.021496,37.1488,37.019627,4.878063678741455,1000.0,7.207820749282837
24,240000,528.5088152287278,-37.73508,0.004551258,-0.0033832768,0.30423614,6.743372,37.904186,37.68193,37.765774,37.79641,4.962325096130371,1000.0,7.522503872712453
25,250000,587.0729197526741,-38.875893,0.004883506,-0.002225578,0.36224756,6.455734,38.777252,38.79178,38.907417,38.673782,5.086444616317749,1000.0,7.83780620098114
26,260000,539.3452079279181,-41.30577,0.005646665,0.0029856989,0.33103085,5.471246,41.423225,41.30443,41.336666,41.312576,5.033346891403198,1000.0,8.152921414375305
27,270000,630.2337147759736,-42.09533,0.004917907,0.00015600485,0.2831952,5.968278,42.09559,41.95703,42.124676,41.98797,4.971147298812866,1000.0,8.466662621498108
28,280000,613.1795468254962,-41.39437,0.0052616103,-0.0050365077,0.2914686,6.957218,41.399277,41.300697,41.430977,41.290718,5.027077913284302,1000.0,8.779691871007284
29,290000,656.3994985257643,-43.174034,0.0055137384,0.002932622,0.23010758,5.468125,43.275253,43.067924,43.204185,43.173256,4.864528656005859,1000.0,9.092572518189748
30,300000,651.6093185209618,-43.43348,0.005223938,0.0018303983,0.29347008,5.6496134,43.417625,43.398487,43.462997,43.303093,4.961061477661133,1000.0,9.41172922849655
31,310000,647.1218032220227,-46.251087,0.005892895,-0.0036901345,0.32996306,6.6262007,46.24984,46.192772,46.29013,46.146904,5.18010950088501,1000.0,9.729198801517487
32,320000,630.5157014738463,-47.94314,0.00575091,0.002396846,0.14793777,5.5832233,47.96667,47.840775,47.975246,47.867958,5.020920038223267,1000.0,10.046569748719532
33,330000,621.1382742675021,-48.83493,0.0061083315,-0.0019236131,0.4347787,6.3149166,48.820175,48.722103,48.8735,48.724552,5.098438024520874,1000.0,10.367816074689229
34,340000,642.5353188789455,-48.76757,0.0060579786,0.0040386575,0.23025855,5.3333325,48.78276,48.65814,48.79988,48.69229,5.133280277252197,1000.0,10.694478185971578
35,350000,653.8561110249026,-49.456264,0.006123505,0.0022331087,0.3756138,5.635322,49.408493,49.369057,49.49077,49.303864,5.0375847816467285,1000.0,11.012658862272898
36,360000,632.1479028285581,-51.944588,0.005987722,-0.0006312756,0.30604422,6.1054287,51.987747,51.899387,51.981148,51.894173,5.120253562927246,1000.0,11.331196737289428
37,370000,681.3384116797607,-50.313774,0.0062543494,-0.0004654862,0.2729627,6.0744257,50.37938,50.252083,50.35177,50.289444,4.960462331771851,1000.0,11.645458551247915
38,380000,667.4833269955835,-50.72969,0.0061889403,0.006279603,0.28794116,4.985351,50.68436,50.668785,50.760544,50.595448,5.176440238952637,1000.0,11.96853479941686
39,390000,676.7484856952699,-51.58112,0.0062878947,0.00015887315,0.28756073,5.9747334,51.490425,51.53858,51.61869,51.400646,5.011209726333618,1000.0,12.285804053147634
40,400000,690.2284677093361,-51.575882,0.0064841104,-0.0007899458,0.2732349,6.121828,51.647728,51.501617,51.615578,51.555626,4.997310400009155,1000.0,12.604453333218892
41,410000,701.7345841833551,-54.303482,0.0066021276,-0.003607643,0.2957786,6.5464363,54.33087,54.308083,54.346703,54.250893,5.137973785400391,1000.0,12.9185551404953
42,420000,697.7944500427973,-50.692184,0.006503336,-0.003673146,0.41701412,6.56481,50.685642,50.654926,50.73488,50.590218,5.053994655609131,1000.0,13.23876986503601
43,430000,698.8324554425659,-50.790337,0.0064801234,-0.0028264548,0.45818913,6.4361725,50.9626,50.844765,50.832043,50.860153,5.0465247631073,1000.0,13.55603309472402
44,440000,720.5158833924809,-52.299046,0.0066904714,-0.00094232894,0.24564485,6.1408463,52.27549,52.310654,52.340134,52.18689,4.94375205039978,1000.0,13.871631940205893
45,450000,709.4322077992534,-54.145065,0.0068109673,0.002343609,0.3137829,5.6559067,54.17532,54.056496,54.183586,54.092434,4.980315446853638,1000.0,14.188626738389333
46,460000,716.0686891130556,-54.570408,0.0067195296,0.0036840977,0.26910937,5.451733,54.61233,54.514374,54.60704,54.532997,4.941993474960327,1000.0,14.503913557529449
47,470000,705.5405382947862,-53.718876,0.006978377,0.00371339,0.37915844,5.4678717,53.873905,53.600243,53.757034,53.79173,5.136081695556641,1000.0,14.817512754599253
48,480000,680.2666186422093,-54.76386,0.0066984105,-0.0012666285,0.491315,6.1890936,54.807964,54.758053,54.805313,54.71882,4.849372386932373,1000.0,15.13386784394582
49,490000,672.2289584201819,-53.470547,0.0068075876,0.005102125,0.28276336,5.2505236,53.43337,53.41082,53.506287,53.346848,5.165595293045044,1000.0,15.453913096586863
50,500000,706.2151839928263,-54.99346,0.0072132195,-0.008310556,0.36822748,7.1521287,54.986115,54.946747,55.04505,54.90985,4.934525966644287,1000.0,15.76856608390808
51,510000,743.5100120559539,-55.744656,0.0069677127,0.0003370731,0.29866773,5.9516234,55.85933,55.6812,55.786125,55.774284,4.937342882156372,1000.0,16.079695296287536
52,520000,716.0630574132533,-56.740723,0.0068057696,0.0012143152,0.31641465,5.821576,56.763306,56.746063,56.780342,56.68873,4.93882155418396,1000.0,16.39285419782003
53,530000,711.2596315044659,-54.858154,0.0069803824,-0.0031579803,0.31144065,6.452408,54.927406,54.82115,54.903194,54.834145,4.881772041320801,1000.0,16.70662407477697
54,540000,699.0350092822159,-57.620945,0.007000168,0.0028293757,0.33583298,5.5958138,57.56582,57.59387,57.66012,57.491707,4.929166555404663,1000.0,17.022093943754832
55,550000,734.470519612821,-55.379105,0.0071677784,-0.0011921348,0.42777908,6.166319,55.3111,55.32483,55.4233,55.223972,5.093107461929321,1000.0,17.341557153066
56,560000,732.0405863242686,-55.83628,0.0072165695,0.003764888,0.40573758,5.478299,55.92878,55.831997,55.875816,55.842728,5.026487827301025,1000.0,17.655717599391938
57,570000,745.2891592745328,-57.484383,0.0070501235,-0.0026397589,0.2831244,6.3744273,57.549316,57.457066,57.529324,57.46798,5.1760663986206055,1000.0,17.975771828492483
58,580000,755.5020584802776,-59.177097,0.007240166,0.002204016,0.37159988,5.695585,59.073963,59.139565,59.21833,59.01292,4.915121078491211,1000.0,18.286913406848907
59,590000,722.9404068972082,-60.484985,0.0072459653,0.005305702,0.37488258,5.2677717,60.60742,60.494392,60.523155,60.548317,4.948750734329224,1000.0,18.603846780459087
60,600000,717.0729000468457,-59.926956,0.00730762,-0.001062295,0.31076872,6.1453676,60.00174,59.855774,59.971863,59.940536,5.005343675613403,1000.0,18.915272843837737
61,610000,705.910842110592,-59.984703,0.007418395,-0.0060290825,0.27465618,6.8127203,60.037,59.964615,60.03524,59.96484,4.9986913204193115,1000.0,19.233364311854043
62,620000,768.0844928302985,-58.540943,0.0073961434,0.0011387519,0.31609675,5.8460345,58.576958,58.565582,58.584183,58.501476,4.874985694885254,1000.0,19.5416401386261
63,630000,737.74374942912,-61.69651,0.007473004,0.003924085,0.34283406,5.474899,61.704018,61.64217,61.737427,61.6494,4.900001525878906,1000.0,19.8551287929217
64,640000,773.5769706017102,-60.272034,0.007445446,-0.0036083702,0.3213541,6.484641,60.21226,60.200195,60.32032,60.147346,5.051965236663818,1000.0,20.171652150154113
65,650000,754.0274588824578,-60.30388,0.007365196,-0.0056865765,0.3359114,6.772088,60.186058,60.2548,60.353752,60.11654,4.833716154098511,1000.0,20.48807876110077
66,660000,746.4907879820437,-61.67202,0.007695954,0.0019468471,0.50975716,5.7470303,61.715782,61.63541,61.71625,61.656242,5.189905405044556,1000.0,20.80833882888158
67,670000,771.35489812411,-59.862316,0.007700443,0.0026327213,0.39110297,5.6581078,59.841717,59.75747,59.905884,59.78118,5.013217449188232,1000.0,21.128071049849193
68,680000,765.8175207603174,-60.212822,0.0075326255,-0.007911977,0.44945168,7.050361,60.311287,60.18235,60.26593,60.244164,4.848093032836914,1000.0,21.44343803326289
69,690000,787.1410893656246,-61.75362,0.007663961,-0.002725383,0.58885705,6.35561,61.779907,61.64074,61.802326,61.71126,4.880160570144653,1000.0,21.754845277468362
70,700000,770.7237840966397,-61.14105,0.007817403,0.0027172691,0.28295106,5.6524076,61.267937,61.13388,61.185234,61.20437,4.945724010467529,1000.0,22.064804740746816
71,710000,754.6419660246299,-62.97796,0.007894837,0.003837203,0.30252105,5.513961,62.94606,62.9771,63.021492,62.889404,5.023339509963989,1000.0,22.38151879707972
72,720000,755.9283157771421,-59.074425,0.00803316,0.0011228044,0.30851787,5.860229,59.060097,59.04482,59.1215,58.987534,4.782318830490112,1000.0,22.692907011508943
73,730000,767.8195067116451,-62.318848,0.0078988075,-0.0007208965,0.35157648,6.0912666,62.38971,62.263554,62.366962,62.33196,4.986044645309448,1000.0,23.008458562692006
74,740000,741.1588309857697,-61.79535,0.007837447,-5.78817e-07,0.22931862,6.000074,61.854218,61.76319,61.842373,61.788116,4.972973108291626,1000.0,23.318552271525064
75,750000,783.8403420661263,-64.44223,0.007936505,-0.00061542424,0.29269674,6.0775433,64.47148,64.45085,64.490456,64.43057,4.949638605117798,1000.0,23.63242010275523
76,760000,782.4520194928447,-63.638687,0.0081430385,-0.00071290974,0.32064867,6.0875483,63.661407,63.628323,63.688255,63.612072,4.847299814224243,1000.0,23.943827227751413
77,770000,764.9257874824275,-64.20632,0.00811983,-0.0006734934,0.54615194,6.0829444,64.287346,64.21306,64.25572,64.2321,4.918081760406494,1000.0,24.254966564973195
78,780000,774.7468607724711,-63.221016,0.008246783,-0.0011374028,0.3542421,6.137921,63.190994,63.235695,63.27163,63.13637,4.89019513130188,1000.0,24.56985821723938
79,790000,765.2169162790126,-63.662216,0.008217096,0.0008413561,0.2685322,5.8976088,63.756523,63.655003,63.71068,63.7081,4.807837009429932,1000.0,24.879140718777975
80,800000,761.2025364460744,-64.82846,0.008105072,-0.0014936542,0.36068752,6.184286,64.80611,64.76142,64.878586,64.75984,5.017298936843872,1000.0,25.193156254291534
81,810000,771.8932870144992,-61.621586,0.00824317,0.0013329429,0.37164623,5.8382974,61.703354,61.615017,61.66971,61.638103,4.931510925292969,1000.0,25.508365805943807
82,820000,769.2032299803429,-60.84497,0.008268124,-0.0025755314,0.39785767,6.3115015,60.955982,60.856262,60.897156,60.879784,5.001122951507568,1000.0,25.82460038661957
83,830000,757.1498711883985,-64.298325,0.008110254,0.000983363,0.28294063,5.878751,64.35679,64.29676,64.346,64.295944,5.411386013031006,1000.0,26.153012907505037
84,840000,777.4029144242025,-64.65373,0.008170188,-0.002706093,0.332704,6.3312154,64.72174,64.618286,64.70546,64.67218,4.9516990184783936,1000.0,26.466631428400675
85,850000,772.1588004623038,-64.358665,0.008186657,-0.0033686417,0.35446468,6.4114795,64.51459,64.36569,64.41115,64.46744,4.839121341705322,1000.0,26.78153149286906
86,860000,785.2762783270624,-64.04758,0.008393952,-9.217882e-06,0.49810088,6.001098,64.00989,64.00054,64.097946,63.958115,5.040791273117065,1000.0,27.096598374843598
87,870000,769.4908653983787,-64.10008,0.008355762,-0.0019166329,0.39249656,6.2293787,64.21605,64.18581,64.15214,64.16419,4.90439248085022,1000.0,27.410479621092477
88,880000,763.9104689227194,-64.45999,0.008357911,0.0027623042,0.3361858,5.6694984,64.53261,64.467674,64.507385,64.48155,4.853731393814087,1000.0,27.72113983631134
89,890000,746.2414118489795,-62.234596,0.008511197,-0.007826469,0.3699386,6.91955,62.24128,62.18232,62.293488,62.17447,5.315673351287842,1000.0,28.043937849998475
90,900000,776.9260329495266,-65.44217,0.008393247,0.00064122136,0.33739102,5.923603,65.53415,65.479576,65.49188,65.49315,4.830270051956177,1000.0,28.35501783688863
91,910000,783.2739378510757,-67.35306,0.008333004,0.0057345517,0.30161318,5.3118267,67.36574,67.408195,67.39732,67.34042,5.001738786697388,1000.0,28.67013418674469
92,920000,761.5000581576995,-62.676098,0.008560482,-0.00551283,0.40911686,6.6439857,62.702797,62.663044,62.73297,62.64852,4.838411569595337,1000.0,28.977546405792236
93,930000,795.0427267922055,-63.52892,0.008520395,-0.0034086027,0.50604165,6.4000525,63.57824,63.50702,63.583458,63.530464,5.036043405532837,1000.0,29.292458776632945
94,940000,779.3311745276676,-65.77048,0.0081828525,0.0008140984,0.32649004,5.9005117,65.79669,65.75043,65.81877,65.76332,5.182576656341553,1000.0,29.614164634545645
95,950000,781.5151486828206,-65.32409,0.008440703,-0.00025964854,0.35853752,6.0307612,65.32937,65.31116,65.374985,65.2964,5.02886700630188,1000.0,29.928153892358143
96,955000,802.3381226723583,-68.25371,0.008347838,0.0056730015,0.33838472,5.3204226,68.18915,68.26676,68.29813,68.15667,4.90379524230957,1000.0,30.125353022416434
97,960000,736.5941017179834,-62.39839,0.00852682,0.0014918561,0.43893206,5.8250394,62.384293,62.402058,62.44806,62.32064,5.012091875076294,1000.0,30.324121594429016
98,965000,781.5399363374706,-65.19013,0.008413776,-0.0021983702,0.24283867,6.2612824,65.20302,65.166306,65.24281,65.15773,4.868964910507202,1000.0,30.521580894788105
