,step,reward,actor_loss,alpha,alpha_loss,critic_loss,logp,next_q,q1,sampled_q,target_q,eval_time,eval_step,time
0,0,-324.97566803266875,,,,,,,,,,,,
1,10000,-283.16825554867864,,,,,,,,,,,,
2,20000,26.373282346194912,-37.581776,0.1056477,0.42476898,2.959114,-1.0206168,37.762825,36.928673,37.47395,37.101753,2.141315460205078,1000.0,0.38358720143636066
3,30000,2059.54003746729,-35.73162,0.02770734,-0.009629886,2.9938405,3.347557,35.46105,35.204994,35.82437,35.041897,2.0921614170074463,1000.0,0.5819315195083619
4,40000,3480.908757239203,-75.09749,0.11009776,0.031497966,6.503643,2.7139091,74.54907,74.187996,75.396286,74.47099,2.1515285968780518,1000.0,0.7808069547017416
5,50000,3678.615996690956,-125.09893,0.12114443,-0.022212114,13.358712,3.1833522,124.54591,124.29174,125.48457,124.66427,2.0778005123138428,1000.0,0.9788807988166809
6,60000,4631.839253787061,-167.14879,0.14741187,0.0051604044,25.969942,2.9649932,166.27112,166.84723,167.58588,166.36865,2.0800695419311523,1000.0,1.1806819359461467
7,70000,4981.345124148508,-186.63943,0.17321993,-0.00122815,21.250566,3.00709,186.32394,186.25781,187.16032,186.40604,2.083768606185913,1000.0,1.3803780873616536
8,80000,5184.131421798034,-215.32077,0.19514133,-0.012622038,26.180603,3.0646815,214.94308,214.79248,215.91881,214.87886,2.0669097900390625,1000.0,1.577861773967743
9,90000,5692.696759434081,-254.6642,0.20268193,-0.07595281,21.238317,3.3747392,254.57626,254.57204,255.34819,254.63553,2.0419116020202637,1000.0,1.7760031421979268
10,100000,5763.269049341775,-267.41898,0.21691242,0.0076319687,21.884636,2.9648156,267.45453,267.52985,268.06207,267.6632,2.0746042728424072,1000.0,1.9754391113917034
11,110000,6053.008355518881,-294.3289,0.23416282,-0.04587086,28.714857,3.195893,293.14136,294.7297,295.07724,293.44296,2.1046383380889893,1000.0,2.176344327131907
12,120000,5797.870849474644,-314.11462,0.24647167,-0.018761102,15.840521,3.0761185,314.023,314.4693,314.8728,314.3963,2.0840506553649902,1000.0,2.3761896888415017
13,130000,6216.986573429527,-317.3941,0.2559923,0.0105738565,20.339874,2.9586947,316.79364,317.21454,318.15152,316.77374,2.073591709136963,1000.0,2.5758668422698974
14,140000,6291.357020876136,-323.16602,0.270525,0.02841957,28.321138,2.8949466,323.06982,323.28528,323.94922,323.11,2.057464838027954,1000.0,2.7777826388676963
15,150000,6440.634179955368,-359.3151,0.27897748,-0.092989534,24.451344,3.3333225,358.77588,359.48077,360.245,359.07043,2.082921028137207,1000.0,2.97849448521932
16,160000,6642.560961589082,-360.94864,0.28558198,0.0008028317,18.773808,2.9971886,360.97913,361.14572,361.80457,361.20767,2.0412657260894775,1000.0,3.1815019965171816
17,170000,6798.2317473658595,-374.89752,0.29649296,-0.12516539,21.93586,3.422153,375.81287,375.62714,375.91217,376.24744,2.147995710372925,1000.0,3.382589797178904
18,180000,6405.985379349745,-378.96942,0.28839687,-0.06287451,17.221836,3.2180138,378.9398,378.82254,379.8975,379.24792,2.025805950164795,1000.0,3.5810566107432047
19,190000,6225.052233265159,-395.7623,0.2996199,-0.18507764,17.214207,3.6177082,396.35312,396.17688,396.84625,396.73172,2.0858707427978516,1000.0,3.7808593034744264
20,200000,6969.8560049370835,-400.8368,0.30802265,0.031196527,20.629684,2.8987203,401.84103,401.48407,401.72968,402.20197,2.0619821548461914,1000.0,3.984266229470571
21,210000,7080.411318800432,-418.8159,0.31263307,-0.11785622,15.7539215,3.3769794,419.4787,419.37305,419.87164,419.89514,2.0519561767578125,1000.0,4.18751228650411
