,step,reward,actor_loss,alpha,alpha_loss,critic_loss,logp,next_q,q1,sampled_q,target_q,eval_time,eval_step,time
0,0,15.83258779152958,,,,,,,,,,,,
1,10000,15.788243627156433,,,,,,,,,,,,
2,20000,337.47184478293565,-100.79258,0.2390152,-0.03589631,22.582256,1.6501843,96.336845,97.0837,101.187004,97.17467,0.5511221885681152,166.2,0.30898694197336835
3,30000,293.7452441571355,-151.2879,0.22893313,0.07312524,178.6904,1.1805825,146.33127,146.48453,151.55818,145.38232,0.31611013412475586,115.9,0.48501311540603637
4,40000,382.6726826231548,-165.44171,0.2090409,0.036161836,53.25186,1.3270108,162.469,162.46243,165.71912,162.80482,0.5960533618927002,218.4,0.6708960016568501
5,50000,316.81783849354383,-159.19957,0.16117935,-0.0256212,40.099064,1.6589608,157.0674,156.73935,159.46696,156.90363,0.3454747200012207,127.2,0.8488378961881001
6,60000,332.5431022623604,-148.0816,0.13812517,0.0033676182,14.977071,1.4756191,145.59854,146.53726,148.28543,146.50073,0.4149801731109619,144.7,1.0321397066116333
7,70000,452.29877310271775,-148.60507,0.11489486,-0.0040108217,52.920387,1.5349085,146.29881,146.72363,148.78143,147.04413,0.43378376960754395,158.6,1.2149473269780477
8,80000,408.8185140187089,-141.64413,0.11365284,0.011787729,5.6168785,1.396283,140.495,141.30984,141.80283,141.2318,0.39281654357910156,144.4,1.3963102579116822
9,90000,521.7153863524234,-145.96559,0.11277091,0.00253049,72.52814,1.4775608,144.09499,144.48003,146.13222,144.94884,0.48986077308654785,179.9,1.5781801740328472
10,100000,509.7457906023944,-149.68166,0.11417668,-0.007632468,8.525093,1.5668479,148.24123,149.24396,149.86057,149.17038,0.6026263236999512,182.4,1.7641932686169943
11,110000,382.063669714765,-144.24686,0.10933757,-0.0326527,9.260695,1.7986412,142.2255,143.54605,144.44351,143.91806,0.3599419593811035,134.0,1.9452826460202535
12,120000,556.3428045105946,-160.01202,0.11668275,0.016783882,7.8110886,1.3561579,158.69174,158.9701,160.17026,159.47296,0.47411394119262695,178.6,2.129705011844635
13,130000,787.104506459177,-165.38277,0.118276134,0.010608256,8.549009,1.4103094,163.546,164.02504,165.54959,164.16858,0.713360071182251,267.0,2.3170896490414936
