,step,reward,actor_loss,alpha,alpha_loss,critic_loss,logp,next_q,q1,sampled_q,target_q,eval_time,eval_step,time
0,0,-450.24540412905054,,,,,,,,,,,,
1,10000,-386.0153205060108,,,,,,,,,,,,
2,20000,-105.80138222285848,-41.721493,0.104901925,0.5630825,10.02184,-1.3677037,41.991226,41.03589,41.57802,41.09439,1.8109254837036133,349.7,0.5535542885462443
3,30000,254.85367379353707,-25.498611,0.02148528,0.0064803036,5.1788793,3.698384,25.70354,24.998375,25.578074,25.145218,3.9687881469726562,742.7,0.8420346816380818
4,40000,358.2533402666255,-22.96497,0.02292452,0.0022665316,5.163249,3.9011307,22.595928,22.461712,23.054401,22.291992,3.891040086746216,763.5,1.1294230421384175
5,50000,372.5335688638381,-25.144964,0.02605335,0.0019899309,4.073969,3.923621,24.792969,24.699186,25.247185,24.549522,3.871319532394409,717.2,1.4150308211644491
6,60000,436.09310743947105,-27.326624,0.02891082,-0.0073425164,4.2189837,4.253971,27.071405,26.863243,27.44961,26.902645,3.3002946376800537,628.8,1.6977150678634643
7,70000,497.5292982286451,-31.71698,0.032263298,0.006121564,3.4806352,3.8102622,31.640982,31.481777,31.839909,31.506699,3.8909051418304443,752.2,1.9908382892608643
8,80000,458.5911419219727,-34.556328,0.03435332,0.0036891494,3.554237,3.8926115,34.426357,34.195984,34.69005,34.333515,3.0726559162139893,566.9,2.2717276136080424
9,90000,485.63050680454387,-39.59962,0.035549443,0.0016071699,4.4927745,3.9547906,39.183258,39.237156,39.74021,39.109745,3.080129623413086,586.1,2.5500064651171366
10,100000,649.6506516491124,-43.634468,0.03746098,-0.0040970584,3.890955,4.109369,43.69711,43.502502,43.788406,43.645485,3.8598806858062744,748.9,2.842885410785675
11,110000,609.9422744808107,-46.36313,0.038494468,-0.0011351886,4.0285363,4.0294895,46.346863,46.206955,46.51824,46.219093,4.300812482833862,813.1,3.1425482908884685
12,120000,456.4455480576039,-51.022293,0.039149527,-0.0112075955,5.3271427,4.286277,50.973442,50.838524,51.1901,50.875015,3.010162353515625,552.2,3.4195234258969625
13,130000,979.6384385825556,-54.196068,0.040342215,0.0022170856,6.7853146,3.945043,54.267395,54.120728,54.355217,54.2659,4.239470720291138,798.4,3.7183993736902874
14,140000,1031.1173037430297,-57.54747,0.041871365,-0.003966614,15.221365,4.094733,57.699894,57.392525,57.718918,57.566826,4.840738534927368,922.8,4.028652056058248
15,150000,744.3540187334083,-62.362026,0.044557396,-0.0053622024,7.7920985,4.1203437,61.77324,62.157833,62.54562,61.866905,3.3014838695526123,622.4,4.309622593720754
16,160000,525.7042045252585,-68.09152,0.046357453,-0.004871794,22.191591,4.105092,67.6855,67.81737,68.28182,67.438095,2.303166627883911,450.1,4.5750589847564695
17,170000,691.6495500960169,-73.59309,0.048423976,0.016981373,7.7874937,3.649319,73.27526,73.31794,73.7698,73.24206,2.829834461212158,532.9,4.850203037261963
18,180000,1750.7938290029983,-80.36545,0.05155757,-0.00044746045,16.43414,4.008679,80.06052,80.19831,80.57213,80.36337,4.171503305435181,807.1,5.144173419475555
19,190000,1682.5355567426698,-90.01433,0.053547952,0.0012606829,13.474138,3.9764566,89.8482,89.63233,90.22726,89.85696,3.7172584533691406,770.6,5.429856733481089
20,200000,1403.107746425826,-95.379456,0.057959046,-0.005372527,20.364227,4.092695,94.99309,95.090515,95.61667,94.65834,3.973253011703491,788.7,5.719182964166006
21,210000,1760.4920513072152,-102.55412,0.06032056,0.0073063783,25.234375,3.8788743,101.099724,102.256546,102.78809,101.08929,3.8519363403320312,740.7,6.010420290629069
22,220000,1531.9667353561454,-112.80453,0.06284959,-0.015263626,16.653622,4.24286,112.51172,112.40528,113.07119,112.46373,2.73795223236084,531.3,6.285111665725708
23,230000,2193.2382051325994,-112.59702,0.06539618,0.0018701842,17.39891,3.9714022,112.29582,112.32143,112.856735,112.31208,4.206677436828613,868.1,6.575621215502421
24,240000,2877.463408256541,-121.21313,0.06853878,-0.0027715922,58.92259,4.0404387,121.28074,121.28483,121.49005,121.19357,4.911484956741333,948.1,6.886890224615732
25,250000,2840.953971619722,-128.54459,0.07146519,0.002787264,24.042152,3.9609983,128.08383,128.31062,128.82767,128.12976,4.79479455947876,922.6,7.192092192173004
26,260000,2428.6741716377014,-140.44904,0.072559625,0.0010059349,34.3887,3.9861364,140.46875,140.15295,140.73828,140.43668,4.298635482788086,844.9,7.492257201671601
27,270000,2822.8749686387723,-137.48376,0.07614273,0.0021987576,46.358044,3.9711235,137.21913,137.22598,137.78613,137.36514,4.831258058547974,943.2,7.801313086350759
28,280000,2531.3871762205995,-141.67407,0.078338824,0.025344541,37.18505,3.6764753,141.27881,141.02664,141.96208,140.51797,4.303795576095581,818.3,8.101215926806132
29,290000,2745.5774839577825,-149.86777,0.081971705,0.005236717,29.401981,3.9361153,149.3214,149.21985,150.19043,149.42288,4.372764825820923,857.6,8.398140807946524
30,300000,3764.5969765766304,-162.81702,0.08607184,-0.011947256,28.709106,4.1388054,162.74692,162.32335,163.17325,162.73529,5.058014869689941,1000.0,8.706042051315308
31,310000,3246.5330499389343,-175.35713,0.08818415,0.018526265,117.83166,3.789914,175.06337,175.13927,175.69133,175.0285,4.551595449447632,908.2,9.003956496715546
32,320000,3329.359461290775,-181.93689,0.09234477,-0.014761761,43.93097,4.159855,182.16925,181.90123,182.32103,182.14606,4.216976881027222,845.5,9.298626653353374
33,330000,3963.930448629241,-175.6092,0.093593486,0.0069076624,34.59602,3.9261951,176.30292,175.51003,175.97667,176.35379,5.130334138870239,1000.0,9.608208366235097
34,340000,4134.423238745624,-185.8079,0.09533833,-0.037300285,52.721725,4.391241,186.3835,185.69041,186.22656,186.39352,4.9841413497924805,1000.0,9.915950059890747
35,350000,3790.3877661842116,-199.61365,0.09825062,0.0013516806,29.073345,3.9862428,198.501,199.30782,200.00531,198.5132,4.683119535446167,912.0,10.219640322526296
36,360000,3581.4406427445197,-199.2232,0.10100062,-0.020427573,40.243813,4.202252,198.89684,199.48788,199.64764,199.04091,4.075108766555786,853.2,10.51367826461792
37,370000,3792.045232604265,-200.16379,0.10004283,-0.018591177,31.389336,4.185832,200.02496,200.07458,200.58255,200.00247,4.1829609870910645,834.8,10.809474956989288
38,380000,3966.2614547971693,-202.71996,0.10627263,-0.024253882,32.92489,4.2282233,201.62555,202.57333,203.16931,201.7843,4.683846473693848,911.9,11.112149842580159
39,390000,4491.557457782065,-216.42407,0.107394345,-0.0028014947,43.279,4.0260863,215.93086,216.2726,216.85646,215.73811,5.224155902862549,1000.0,11.421213805675507
40,400000,4038.3862902949127,-212.5402,0.108448975,0.030538026,44.27326,3.718411,213.81085,212.48596,212.94347,213.8415,4.641452789306641,902.6,11.724807898203531
41,410000,4132.225730795833,-215.14551,0.109879084,-0.026894541,46.925777,4.244765,215.53503,214.55374,215.61191,215.25763,4.679371118545532,903.6,12.027282814184824
42,420000,3110.5704037670557,-233.41441,0.11388516,0.013419763,45.56135,3.8821642,232.53125,233.33246,233.85655,232.6278,3.560614824295044,709.6,12.311071292559307
43,430000,2489.347295434608,-232.54813,0.11480392,0.016083822,42.72347,3.859902,231.9071,231.90594,232.99124,231.96878,3.3533666133880615,654.2,12.592835350831349
44,440000,2810.1074163824337,-230.78326,0.11987543,1.7848797e-05,41.18342,3.9998512,230.32126,230.59946,231.26276,230.39635,3.089789390563965,599.2,12.866086693604787
45,450000,3575.9030463380636,-234.93915,0.11977613,-0.012554165,47.648945,4.1048136,234.12573,234.88364,235.4308,234.24396,3.8322699069976807,747.9,13.15772304534912
46,460000,3946.8856093658133,-237.59613,0.12285258,0.027566833,46.167427,3.7756107,236.55692,236.80424,238.05997,236.53778,4.38589882850647,818.4,13.457208029429118
47,470000,4890.034548462061,-250.741,0.1235681,0.015368092,54.35879,3.8756306,250.06088,250.2787,251.21988,250.00821,5.181039571762085,1000.0,13.771879565715789
48,480000,3643.120461482107,-255.04086,0.12484442,0.0028726812,32.173027,3.97699,255.91956,255.50279,255.53735,256.04324,3.85062313079834,735.7,14.061698528130849
49,490000,4636.423866224946,-253.65204,0.12662648,-0.006942142,41.824055,4.054824,253.53445,253.74696,254.16547,253.47058,4.935452938079834,972.1,14.369661887486776
50,500000,4140.514817705766,-267.75568,0.12754513,-0.060724467,48.19828,4.476102,267.65552,268.0428,268.3266,267.78516,4.182547330856323,843.2,14.66756756703059
51,510000,4161.074906991234,-262.1402,0.12961674,0.04646126,52.191635,3.6415486,261.87122,262.05228,262.61218,261.85553,4.3139283657073975,829.6,14.971631161371867
52,520000,4671.742068337336,-257.2857,0.13033544,0.034831215,55.505714,3.7327573,257.94098,257.1091,257.77222,257.97266,4.604067802429199,921.4,15.273969475428263
53,530000,3870.386961667824,-269.72263,0.1331848,0.018905573,40.45282,3.85805,269.95197,270.45374,270.23645,270.1032,4.897855043411255,928.1,15.58123909632365
54,540000,4605.0127676048205,-280.73193,0.1328858,0.030446976,38.245033,3.7708788,280.77777,280.94217,281.23303,280.99606,4.828254699707031,946.7,15.889366821448009
55,550000,2638.8512485536003,-270.31976,0.13339138,0.016200036,63.620865,3.8785524,271.12808,270.32172,270.83713,271.27682,2.8468024730682373,555.1,16.16327809492747
56,560000,4742.470344265143,-283.2804,0.1335875,-0.006842278,50.930035,4.0512195,283.3634,282.94666,283.8216,283.3587,4.663505792617798,944.6,16.466063555081686
57,570000,4679.6837801172605,-294.05457,0.13430427,-0.04597121,78.01158,4.342292,293.73053,294.31906,294.6378,293.77228,4.483956813812256,904.5,16.767884182929993
58,580000,4083.7305270252596,-291.06598,0.1370003,-0.00058005145,43.276596,4.004234,291.6902,291.22174,291.61453,291.84906,4.094965219497681,814.6,17.06203230222066
59,590000,4731.881280678577,-305.11795,0.13634314,-0.054655313,46.197132,4.4008656,304.54666,305.23395,305.71796,304.62857,4.686281442642212,919.9,17.364569866657256
60,600000,4135.634081865843,-289.9584,0.13809432,0.020925028,55.244976,3.848473,288.84357,289.58368,290.48987,288.9806,4.275172472000122,887.5,17.661409370104472
61,610000,5186.37899829705,-302.29733,0.13598341,-0.013435941,37.82579,4.0988054,302.2589,302.05188,302.8547,302.4156,5.240454196929932,1000.0,17.976114130020143
62,620000,2924.5998370448665,-307.1361,0.13842668,-0.042758107,59.008644,4.3088865,307.10358,307.17163,307.73254,307.20508,2.8628649711608887,571.1,18.25721914768219
63,630000,5011.397381574379,-307.32266,0.13926159,0.0033944491,38.210854,3.9756255,307.44025,307.5901,307.87634,307.58832,4.666095733642578,947.1,18.56381819645564
64,640000,5040.025627193778,-306.24277,0.13994443,-0.02209698,41.29129,4.1578984,306.26788,306.57367,306.82465,306.35773,4.899285554885864,963.9,18.870697776476543
65,650000,5029.701474199422,-299.93365,0.13923758,0.006545052,133.11595,3.9529934,300.88928,299.70932,300.48407,301.05957,5.21155309677124,1000.0,19.182365679740904
66,660000,5164.64034128398,-300.8838,0.14252691,0.043258168,53.62896,3.6964912,301.34183,300.7919,301.41064,301.47534,5.0010786056518555,970.9,19.48820298910141
67,670000,4479.044242402882,-314.65863,0.14039819,-0.08793816,53.310863,4.626348,313.15332,314.38528,315.30817,314.65085,4.565296649932861,874.3,19.793788810571034
68,680000,4903.797986827756,-320.06308,0.14162962,0.015558334,55.889183,3.8901477,320.05203,320.30865,320.61404,320.018,4.707887887954712,935.9,20.09878799915314
69,690000,4666.460059802987,-310.0133,0.14054777,0.04668828,28.26961,3.667812,310.3723,310.22498,310.5288,310.56018,4.385985374450684,881.7,20.398715249697368
70,700000,4419.568057825242,-341.397,0.14283194,-0.04799746,65.99536,4.3360415,340.7876,341.3872,342.0163,341.00775,4.590728759765625,908.1,20.6981187303861
71,710000,4415.038047602827,-319.82092,0.14417265,0.0069280937,41.746525,3.951946,319.20197,319.49173,320.39066,319.22253,4.18170952796936,862.4,20.99663953781128
72,720000,5345.52646373705,-317.58383,0.1438403,-0.007364846,64.25635,4.0512013,318.11508,317.28204,318.16656,318.13098,4.99179220199585,1000.0,21.307961134115853
73,730000,5259.460460689228,-332.92133,0.14487137,0.0012398884,37.395977,3.9914412,334.04913,332.96655,333.49957,334.1599,5.005359172821045,968.1,21.622162048021952
74,740000,5023.350501511885,-328.74033,0.14489238,0.022802077,34.78272,3.8426275,328.00705,328.71378,329.29706,328.16202,4.879155874252319,932.4,21.934003794193266
75,750000,4554.7447998058515,-328.5808,0.14504711,0.024773434,50.43299,3.8292046,329.10678,328.60822,329.1362,329.15915,4.559344053268433,909.2,22.241234648227692
76,760000,4758.910196604516,-327.888,0.14398052,0.039428096,33.802666,3.7261567,328.81888,328.08002,328.42447,328.8578,5.119848251342773,1000.0,22.552187804381052
77,770000,4715.40530987746,-360.667,0.14846332,-0.020670582,41.873726,4.1392303,361.37427,361.0181,361.2815,361.56787,4.935936450958252,943.9,22.85686513185501
78,780000,4518.332468127078,-342.22263,0.14804564,-0.011437177,37.98386,4.0772543,341.71255,342.05847,342.82623,341.89487,4.379426002502441,852.2,23.158806482950848
79,790000,4521.646093207308,-344.4723,0.14879893,0.030371815,56.113922,3.795887,345.6735,345.04785,345.0371,345.84717,4.384252548217773,842.5,23.461632696787515
80,800000,5304.018301483952,-350.19666,0.14578699,-0.023253992,30.81638,4.159507,350.1669,350.19055,350.80307,350.2509,4.695291519165039,974.6,23.766258295377096
81,810000,5333.088490067134,-333.58075,0.14759125,0.043938044,65.12117,3.702299,333.84106,333.57892,334.12714,333.91696,4.849322557449341,986.4,24.07434412240982
82,820000,4932.224984486495,-347.47867,0.14855666,-0.043042153,43.06987,4.2897353,347.76514,347.40195,348.11597,347.94873,4.737093925476074,914.6,24.37985980908076
83,830000,5235.365833028347,-330.73944,0.1499437,0.014143263,48.647644,3.9056761,332.30048,331.1922,331.32507,332.40234,5.12397027015686,1000.0,24.69181642929713
84,840000,5160.665921592603,-347.50928,0.14962722,0.025457343,119.57435,3.8298614,345.94666,347.37994,348.0823,346.18524,5.034667253494263,1000.0,25.00198740561803
85,850000,5502.627738360433,-343.8996,0.15281306,0.021749094,48.573902,3.857675,344.5301,343.73853,344.48907,344.69098,5.196345329284668,1000.0,25.312085767587025
86,860000,5523.3114548725,-349.2431,0.14978199,0.014046265,36.059517,3.906222,348.9048,349.12338,349.8282,349.06915,5.082523822784424,1000.0,25.622137717405955
87,870000,5549.6137462806255,-340.47858,0.1496249,0.030846741,40.334694,3.7938395,340.23257,340.32013,341.0462,340.32315,5.046199560165405,1000.0,25.936272831757865
88,880000,4805.5236170155995,-367.3592,0.15142566,0.007242379,35.49598,3.952172,367.0833,367.89648,367.95764,367.32983,4.555475234985352,878.3,26.239586579799653
89,890000,5487.020651770986,-366.6733,0.15195824,-0.03093462,33.535004,4.203573,367.33664,367.10706,367.3121,367.54034,5.0855913162231445,1000.0,26.549929336706796
90,900000,5513.229554680979,-365.41858,0.15053524,0.010119136,38.503937,3.932779,365.97516,365.9107,366.01062,366.11713,4.9851624965667725,1000.0,26.85991461277008
91,910000,5534.7602450101285,-358.66888,0.15171732,0.04461283,42.535236,3.7059479,357.90363,359.04745,359.23114,358.07242,5.097659587860107,999.1,27.169091753164928
92,920000,4843.2885758914,-362.86935,0.15025626,-0.013543509,57.099606,4.090136,362.32916,362.7586,363.48395,362.55548,4.304189682006836,881.9,27.468211797873177
93,930000,4969.778550581262,-360.6361,0.1516038,-0.018424336,58.413773,4.1215296,360.48163,360.85007,361.26093,360.79144,4.825774192810059,985.7,27.775795956452686
94,940000,5524.231647178416,-369.88126,0.1483853,-0.059865218,37.646717,4.4034443,369.33694,370.58972,370.53467,369.50513,4.900713682174683,1000.0,28.08454260031382
95,950000,5680.953658724128,-359.4641,0.14919062,-0.014236786,56.12625,4.0954266,359.4345,359.5864,360.07507,359.75732,4.845371246337891,1000.0,28.388884929815926
96,955000,5228.147014137963,-366.70322,0.15197004,-0.009465596,73.757774,4.062286,366.65765,366.50763,367.32056,366.8493,4.996922969818115,941.9,28.584219527244567
97,960000,5086.294035015548,-376.26974,0.1497726,0.013100461,100.84354,3.9125311,376.673,376.55557,376.85577,376.8585,4.685045003890991,930.1,28.778271400928496
98,965000,4842.128906841207,-379.4834,0.15093456,-0.016013134,42.639065,4.1060934,380.0559,380.29388,380.10315,380.18817,4.376794338226318,871.3,28.96578369140625
99,970000,5519.714622912425,-376.5849,0.1527162,-0.021486975,28.368011,4.1406984,376.96216,377.18887,377.21725,377.21887,5.086925506591797,1000.0,29.16312480767568
100,975000,5649.93855672602,-367.54767,0.1508566,0.0035522673,50.146324,3.9764526,368.473,367.99234,368.14752,368.6102,5.180175304412842,1000.0,29.362370177110037
101,980000,5537.582246033014,-374.8594,0.15395357,-0.000957679,24.30579,4.006221,374.75183,375.1504,375.4762,375.03973,4.960421085357666,1000.0,29.56043429772059
102,985000,5261.113272102099,-375.04248,0.15119599,0.016212594,51.529922,3.8927708,374.1872,374.15564,375.63107,374.81122,5.080059766769409,1000.0,29.758285069465636
103,990000,4388.81455243991,-362.93463,0.15201734,0.014461577,36.728004,3.904869,363.90656,363.23615,363.52823,364.2036,4.019617557525635,838.5,29.937301699320475
104,995000,5560.15561651455,-362.55463,0.15544845,0.02819563,46.060516,3.8186176,362.51865,362.73846,363.14825,362.8305,5.133548259735107,1000.0,30.138165918986
105,1000000,4921.29947365376,-372.82452,0.15199362,0.0056069633,51.198963,3.9631107,372.67517,372.46594,373.4269,372.9543,4.434902906417847,879.8,30.325274765491486
