,step,reward,actor_loss,alpha,alpha_loss,critic_loss,logp,next_q,q1,sampled_q,target_q,eval_time,eval_step,time
0,0,-282.80898222627445,,,,,,,,,,,,
1,10000,-299.1293216999462,,,,,,,,,,,,
2,20000,-115.58515475435543,-37.284218,0.10326005,0.44994548,2.3059294,-1.3574017,37.22232,36.75029,37.14405,36.575417,2.9532835483551025,1000.0,0.5040450096130371
3,30000,2166.3653767632823,-42.938152,0.04479182,0.005039084,4.214508,2.8874998,42.398403,42.42899,43.06749,42.06285,2.9036781787872314,1000.0,0.7319576462109884
4,40000,3136.811122167717,-78.956406,0.094338074,0.024518963,8.198858,2.7400947,78.340546,78.35261,79.214905,78.186035,3.076228380203247,1000.0,0.9577182571093241
5,50000,3982.386052378047,-122.411644,0.12039293,-0.0006190026,14.076399,3.0051415,122.05162,122.043564,122.77344,122.196915,2.8791701793670654,1000.0,1.1864413102467855
6,60000,4634.091748364897,-145.34488,0.14681222,0.0074101742,23.42336,2.9495263,145.24838,144.84972,145.77792,145.30423,2.8942227363586426,1000.0,1.4089287161827087
7,70000,5186.462368033672,-178.11818,0.17198059,-0.03091738,39.25931,3.1797726,177.98497,177.94505,178.66502,178.14746,3.1488616466522217,1000.0,1.6380261023839315
8,80000,5197.763896070368,-207.42213,0.19558643,-0.06270532,25.004358,3.3206015,207.32605,207.56403,208.07161,207.55743,2.9669880867004395,1000.0,1.8658381541570028
9,90000,5316.1556242363,-237.20705,0.21641394,-0.015669674,21.637173,3.072406,237.26778,237.36063,237.87196,237.45612,3.0383918285369873,1000.0,2.0898598154385883
10,100000,5581.143797624486,-250.12708,0.23910311,0.042883374,14.355703,2.8206491,250.48947,250.4813,250.80151,250.7921,3.062041997909546,1000.0,2.3176056424776714
11,110000,5805.578094702459,-281.95743,0.25355414,-0.07599903,19.972778,3.299735,281.72668,281.85666,282.79407,282.08206,2.963840961456299,1000.0,2.5454578081766766
12,120000,5900.3191205330895,-304.11908,0.2678685,-0.036806073,77.374664,3.1374035,303.31177,304.6493,304.9595,303.6615,2.897085666656494,1000.0,2.7701746185620624
13,130000,5900.949818496844,-331.64224,0.2752078,-0.12798674,20.843239,3.465055,331.62384,332.06503,332.59583,332.19534,2.9805684089660645,1000.0,2.9936150789260862
14,140000,6090.593082283267,-341.3117,0.2860577,-0.11346835,19.380041,3.3966625,341.0682,341.4735,342.28333,341.51392,2.844477891921997,1000.0,3.21581240495046
15,150000,6281.049791891781,-344.24643,0.30293635,0.025334261,17.887894,2.9163709,343.33295,344.55826,345.12988,343.853,3.1342532634735107,1000.0,3.4471385876337686
16,160000,6325.895850131874,-362.05658,0.30561164,-0.080806114,22.98085,3.2644076,362.2248,362.6276,363.0542,362.52313,3.103107452392578,1000.0,3.6756155570348104
17,170000,6324.665690074041,-370.602,0.31320858,-0.022311246,21.869265,3.0712345,371.47012,371.25922,371.56393,371.89496,2.8673906326293945,1000.0,3.903047239780426
18,180000,6530.8744802679075,-383.10822,0.3150836,0.03681751,19.89456,2.88315,384.18896,383.30338,384.01666,384.54202,2.921511650085449,1000.0,4.130431520938873
19,190000,6644.113608610271,-395.12598,0.3215411,0.012960909,24.440784,2.9596913,395.60837,395.3655,396.07767,395.70413,2.929260492324829,1000.0,4.354514996210734
20,200000,6766.508364559397,-416.15317,0.31943777,-0.023505948,23.61605,3.0735855,416.64874,416.90164,417.13498,416.90195,2.979389190673828,1000.0,4.583768864472707
21,210000,6891.553723324915,-435.17502,0.3213326,-0.010293821,22.063385,3.0320349,434.15338,435.61038,436.1493,434.57843,2.824129581451416,1000.0,4.808372028668722
22,220000,7037.000630695153,-433.47574,0.33039287,0.0042205118,22.054626,2.9872258,433.2254,433.39185,434.4627,433.46136,3.0620415210723877,1000.0,5.037059783935547
23,230000,7174.831801656001,-457.16455,0.33836776,-0.022725495,18.91541,3.067162,457.79773,457.50885,458.20236,457.97736,2.8766114711761475,1000.0,5.261506060759227
24,240000,6751.829767329946,-471.20502,0.3393839,0.058180287,22.710945,2.8285708,470.3734,471.412,472.165,470.67584,3.002981424331665,1000.0,5.48984520037969
25,250000,7264.140533559985,-471.79358,0.3469036,0.04325282,25.748941,2.8753176,472.8545,472.10706,472.79102,473.00827,2.98647141456604,1000.0,5.717305024464925
26,260000,7514.741481686438,-486.7514,0.36253363,0.06038166,22.067335,2.8334453,487.80865,487.3434,487.77863,488.18268,3.0821022987365723,1000.0,5.946657705307007
27,270000,7699.367700983198,-512.28296,0.35726765,-0.049462248,18.507164,3.1384459,512.0539,512.458,513.40424,512.28345,3.2164721488952637,1000.0,6.181141861279806
28,280000,7995.669449965497,-501.48044,0.3632872,-0.04701393,25.83517,3.1294127,502.0199,501.62616,502.6173,502.1017,2.986161708831787,1000.0,6.409274967511495
