,step,reward,actor_loss,alpha,alpha_loss,critic_loss,logp,next_q,q1,sampled_q,target_q,eval_time,eval_step,time
0,0,45.04791711788572,,,,,,,,,,,,
1,10000,32.374154077583526,,,,,,,,,,,,
2,20000,413.44616939698824,-99.246,0.21484326,-0.05652777,57.445415,1.7631117,94.90287,94.409454,99.6248,95.49597,0.6811833381652832,190.7,0.352838929494222
3,30000,336.6604025920478,-155.84677,0.2275398,0.023902353,41.306976,1.394953,150.99698,152.1942,156.16418,151.59067,0.45171546936035156,124.0,0.5424899816513061
4,40000,381.9272388296916,-172.55869,0.25460938,0.06020596,35.929253,1.263536,168.99297,170.05072,172.88039,169.31163,0.6056873798370361,178.0,0.7378354986508687
5,50000,13.07726912260389,-169.23804,0.2172217,-0.017058156,63.28013,1.5785289,164.80841,166.0936,169.58093,165.5679,0.08023381233215332,22.6,0.9185251871744792
6,60000,689.2268649318185,-181.81587,0.20628047,-0.016841367,28.177233,1.5816431,179.15096,179.0463,182.14214,179.26624,0.8271224498748779,237.6,1.1110622882843018
7,70000,299.3992160710888,-174.28085,0.19300395,-0.039856344,28.876616,1.7065053,171.66214,172.06299,174.61021,172.13239,0.3885536193847656,115.6,1.2967488209406535
8,80000,977.4528296217289,-180.43213,0.21640314,-0.01879212,52.642235,1.5868385,178.68556,177.70079,180.77553,178.99026,1.0715141296386719,316.9,1.4941553632418314
9,90000,972.2067349657827,-185.10869,0.19149579,0.0008305218,22.849728,1.4956629,183.53815,183.83688,185.39511,184.24272,1.1095151901245117,317.0,1.6927051107088724
10,100000,1218.6316027599426,-189.34685,0.18181705,-0.035492092,46.14238,1.6952078,186.97635,187.39482,189.65506,187.76749,1.389448881149292,409.6,1.8958795150121053
11,110000,1282.6893949358266,-195.18262,0.16603853,0.013331726,30.184988,1.419707,193.53787,193.31401,195.41833,193.66234,1.4902167320251465,409.5,2.105712588628133
12,120000,1783.8743683276111,-203.38359,0.15570736,-0.0068955617,11.239027,1.5442853,201.97284,202.70401,203.62404,202.4987,2.01007080078125,560.8,2.3231139461199444
