,step,reward,actor_loss,alpha,alpha_loss,critic_loss,logp,next_q,q1,sampled_q,target_q,eval_time,eval_step,time
0,0,-1.9590174404214715,,,,,,,,,,,,
1,10000,-1.4836513628290395,,,,,,,,,,,,
2,20000,194.86056297873674,-78.246155,0.12416727,0.15522614,30.400562,1.7498627,74.61566,74.630455,78.463425,74.28346,0.7755417823791504,210.5,0.36020453373591105
3,30000,299.10408607046713,-94.747536,0.069621734,-0.021354515,23.431515,3.3067222,92.90367,92.24577,94.97775,92.50433,1.1284077167510986,301.3,0.5876204331715902
4,40000,361.2799014557531,-96.91957,0.06368447,0.03190638,24.128977,2.498993,96.220566,95.74212,97.07872,96.053444,0.9085915088653564,240.1,0.7879825711250306
5,50000,394.97710109138495,-103.056305,0.07297831,0.0050990526,18.92192,2.9301293,101.725075,101.59649,103.27014,101.65892,0.8844616413116455,229.3,0.9909751494725545
6,60000,426.8110961706635,-110.751816,0.077976234,0.010045653,24.295143,2.87117,109.80774,110.08855,110.9757,109.68447,1.033144235610962,280.1,1.1964439233144124
7,70000,299.4423138641622,-111.77181,0.08231389,-0.013764407,21.320885,3.1672187,109.929886,109.91945,112.03252,110.048416,0.5879123210906982,165.9,1.3907466928164165
8,80000,376.1159582572295,-108.117355,0.0846572,0.0067237495,19.176998,2.9205766,106.83737,106.977356,108.3646,107.11883,0.9892525672912598,253.0,1.5989397406578063
9,90000,479.65169134013667,-110.22469,0.08202102,-0.016027775,24.066776,3.1954105,107.9057,108.55594,110.486786,108.14572,1.0714151859283447,276.4,1.8081568876902263
10,100000,718.0297992801904,-110.07669,0.07893499,-0.029089194,16.809013,3.368521,108.29238,109.22254,110.34259,108.85002,1.602689266204834,416.8,2.027013838291168
11,110000,655.7439674824884,-114.28343,0.076824546,0.0060088094,20.842274,2.9217856,113.090225,113.32832,114.5079,113.2222,1.44095778465271,368.0,2.2437123735745748
12,120000,725.4411452599336,-119.42233,0.07786695,0.021443468,22.567791,2.724614,117.57335,118.67261,119.6345,117.86914,1.0862836837768555,287.6,2.456151342391968
13,130000,641.9699091175419,-126.39679,0.08765019,-0.0007056892,30.92041,3.0080512,125.1645,125.582245,126.660446,125.6682,0.9948897361755371,258.7,2.6639649947484334
14,140000,755.2488031984059,-131.82455,0.09816773,-0.03996085,31.201641,3.407067,131.17328,131.10464,132.15901,131.30933,1.0373191833496094,280.1,2.870332690080007
15,150000,2723.4662978320384,-136.0735,0.10274379,-0.022316331,20.630432,3.2172036,134.83838,135.67484,136.40404,135.3725,3.299607276916504,870.3,3.114509626229604
16,160000,1870.9408977977214,-147.41733,0.11096918,-0.049906887,29.770151,3.4497364,146.5063,146.17891,147.80014,146.32388,2.1393682956695557,593.9,3.338382093111674
17,170000,2947.5751762685804,-154.06898,0.112540595,-0.0018698606,20.600622,3.0166152,152.70789,152.72305,154.40848,152.62805,3.433635950088501,857.4,3.589813160896301
18,180000,3349.3654516118368,-172.15596,0.12017031,0.009448676,22.547863,2.9213727,171.25034,171.12585,172.50702,171.4153,3.4892568588256836,896.9,3.8427737911542255
19,190000,1607.7513676689036,-183.01762,0.12274532,0.01070576,33.899307,2.9127808,183.17528,182.51285,183.37515,183.49628,1.7312872409820557,452.4,4.063426474730174
20,200000,3254.717319636593,-177.87091,0.12984528,-0.03772858,34.64888,3.2905657,175.26239,175.8315,178.29817,175.38344,3.2922792434692383,856.9,4.311793335278829
21,210000,3835.4630624468746,-200.00606,0.13038458,0.017720139,34.035748,2.8640933,199.15631,199.71783,200.37949,199.38138,3.6368823051452637,988.6,4.565322951475779
22,220000,3683.167193487666,-202.29391,0.13367344,-0.028076893,27.231106,3.210041,200.24878,201.00154,202.72302,200.92346,3.6608431339263916,962.6,4.819208482901256
23,230000,3092.9457311782985,-219.58463,0.13615812,-0.00034229085,38.730515,3.002514,218.65369,218.71338,219.99344,218.79024,3.098916530609131,817.6,5.0638439933458965
24,240000,3480.5796414168885,-217.32178,0.1346793,-0.050177403,37.72571,3.3725696,216.99844,217.70782,217.776,217.21536,3.35314679145813,916.2,5.308059267203013
25,250000,3788.685541106559,-238.2148,0.1350903,0.01661446,45.272984,2.8770123,235.89485,237.09456,238.60345,235.91699,3.7510054111480713,1000.0,5.557570433616638
26,260000,3976.124462030205,-232.7541,0.13682246,-0.05313866,38.82127,3.3883767,233.11162,232.37186,233.2177,233.3165,3.6858716011047363,975.1,5.806342319647471
27,270000,2880.906589144768,-236.39111,0.13408768,0.038440295,30.772038,2.7133198,236.98854,236.3598,236.75493,237.49538,2.654639959335327,738.7,6.037752417723338
28,280000,2797.1184572407683,-241.69662,0.13984723,0.0010156599,33.014374,2.9927373,241.29413,241.34775,242.11516,242.11191,2.5839436054229736,693.9,6.2666544079780575
29,290000,4049.5414195107105,-252.93544,0.14036442,-0.012236046,40.078995,3.0871735,252.75919,253.21758,253.36877,252.99486,3.7326722145080566,1000.0,6.513010176022847
