,step,reward,actor_loss,alpha,alpha_loss,critic_loss,logp,next_q,q1,sampled_q,target_q,eval_time,eval_step,time
0,0,-10.31991978871513,,,,,,,,,,,,
1,10000,-10.142667994447159,,,,,,,,,,,,
2,20000,212.75849238443692,-75.934616,0.12415356,0.23672858,32.694935,1.09326,73.48961,73.57794,76.07034,72.940414,0.6390314102172852,225.0,0.3154425104459127
3,30000,259.35154310459257,-90.19088,0.08193558,-0.007558135,32.74817,3.0922446,88.34885,87.40558,90.444244,88.07611,0.4970824718475342,175.1,0.5020967443784078
4,40000,298.3937641645857,-102.33478,0.07861439,-0.0051376303,27.744316,3.065352,100.28336,100.70336,102.57575,100.47155,0.5523135662078857,191.6,0.6870137651761373
5,50000,209.65943545059594,-102.714745,0.0727567,-0.019280301,24.635056,3.264997,100.85799,100.63336,102.952286,100.26079,0.7931396961212158,289.3,0.8773197094599406
6,60000,312.3534062248604,-102.71665,0.076302655,-0.008731388,32.61741,3.114431,100.71123,101.7054,102.954285,100.81387,0.47969770431518555,169.8,1.0627363204956055
7,70000,334.0513931282859,-102.43675,0.066687666,0.0071309526,25.100725,2.8930695,101.48581,101.8602,102.629684,101.48271,0.5229170322418213,191.4,1.25419069925944
8,80000,1213.918128191737,-99.73828,0.068093635,0.025888525,19.270973,2.6198099,98.68916,99.07141,99.916664,98.93828,1.9414756298065186,696.7,1.465743903319041
9,90000,682.2644137323357,-100.89421,0.06450211,-0.0021728277,20.211056,3.0336862,99.51106,100.43088,101.08989,99.81496,0.9853494167327881,357.8,1.6586507399876913
10,100000,780.4723538276717,-104.44377,0.06965614,0.0063959677,19.082127,2.9081779,103.5479,103.2343,104.64635,103.47995,1.1316423416137695,395.6,1.8546853502591452
11,110000,1805.9983039957333,-106.60116,0.07422555,0.018053811,14.431887,2.756771,105.39725,105.880295,106.805786,105.75078,2.371711492538452,865.4,2.071776815255483
12,120000,912.5024976085685,-115.66832,0.07838387,-0.022457164,13.6928425,3.2865024,113.98261,114.623314,115.92593,114.61766,1.1686103343963623,397.7,2.2739261984825134
13,130000,863.3592607576235,-117.023346,0.084153086,0.008476384,17.527546,2.8992743,117.1001,116.44524,117.267334,117.38569,1.2521026134490967,456.1,2.47015993197759
14,140000,906.052063258935,-124.24757,0.09324079,0.007029567,17.61761,2.9246085,122.652916,123.61914,124.52026,123.24931,0.948002815246582,334.7,2.6644675294558207
15,150000,627.9622065823327,-135.84088,0.0959726,-0.007158392,22.729221,3.0745878,135.40958,134.87491,136.13596,135.61804,0.7058064937591553,240.8,2.8557610352834066
16,160000,1040.6989810114142,-140.55627,0.09767198,0.01679578,16.761166,2.828039,140.47765,140.09645,140.83252,140.70651,1.0494332313537598,389.6,3.0537417054176332
17,170000,842.2867656863187,-143.99455,0.10080068,-0.023686172,19.20522,3.2349803,142.74197,143.08746,144.32065,142.89883,0.7893896102905273,297.3,3.2451661388079325
18,180000,788.6361538907124,-152.429,0.10327029,-0.047807924,20.096964,3.4629397,151.31519,151.87115,152.78662,151.86356,0.7838008403778076,273.7,3.4417049328486127
19,190000,864.2953064829047,-156.19672,0.10454129,0.010552026,24.35924,2.8990636,155.45053,155.8564,156.49979,155.72498,0.8199057579040527,303.7,3.6365739822387697
20,200000,1013.4011363560033,-154.5427,0.10103082,-0.018184666,22.882832,3.1799912,154.27357,154.43729,154.86398,154.80711,1.042074203491211,384.6,3.8318977117538453
21,210000,907.3724899402292,-155.54225,0.10383503,-0.04267666,23.150791,3.4110045,154.30276,154.9277,155.89642,154.75018,0.8893003463745117,329.4,4.027842462062836
22,220000,664.9650955630009,-151.04857,0.10181461,0.0013538008,17.604408,2.9867032,149.62186,150.46443,151.35266,150.2674,0.912529468536377,339.8,4.220766671498617
23,230000,852.6686696227819,-163.02173,0.10585392,-0.032363757,23.015068,3.3057399,162.18552,162.11722,163.37164,162.59323,0.8060572147369385,304.0,4.415756376584371
24,240000,782.5253726254393,-162.33617,0.106231794,-0.021147177,16.695599,3.1990662,160.65317,161.92247,162.67601,161.5026,0.7813591957092285,296.9,4.609041031201681
25,250000,1062.7200832599012,-165.74034,0.10505976,0.014562916,21.729828,2.8613844,164.43527,165.29517,166.04095,165.01118,0.9547379016876221,351.1,4.8042084097862245
26,260000,1295.8880048108663,-165.09126,0.10454566,0.0017900784,18.119122,2.9828777,164.06818,165.04208,165.4031,164.5241,1.2558491230010986,440.4,5.0068388938903805
27,270000,1069.2552975820095,-164.76678,0.10158051,0.012003297,26.482018,2.8818345,162.69304,164.11273,165.05951,163.30826,0.9084439277648926,336.0,5.20380836725235
28,280000,998.9206355071835,-165.15096,0.10205733,-0.024204092,19.251278,3.2371619,164.5141,164.93387,165.48134,165.04832,0.8911542892456055,325.0,5.398738408088684
29,290000,1106.559985603069,-171.86157,0.10218579,-0.005803112,17.124767,3.0567899,171.49194,172.007,172.17392,172.14777,0.9467213153839111,346.7,5.596154594421387
30,300000,1134.5406037958396,-170.15402,0.101594575,-0.031166874,20.3284,3.306777,169.11557,169.68533,170.48996,169.79047,0.9816510677337646,351.8,5.793885548909505
31,310000,1483.883647867488,-178.10794,0.09917353,-0.03242704,22.004284,3.3269727,176.9886,177.5651,178.4379,177.46553,1.2757937908172607,464.9,5.993505410353342
32,320000,1300.1691547964288,-186.08972,0.10259746,0.013310825,14.287796,2.8702617,185.13522,185.84662,186.38422,185.40932,1.1137809753417969,403.7,6.194251517454783
33,330000,1551.1305849217524,-179.5297,0.10187866,-0.002587784,26.228485,3.0254006,178.44467,178.22034,179.83792,179.05432,1.3112940788269043,476.4,6.394664661089579
34,340000,2535.4549286682277,-186.89914,0.098738484,0.02266486,20.29579,2.7704556,186.63034,186.48828,187.1727,187.08322,2.069138765335083,766.3,6.6079352060953775
35,350000,2838.374726409573,-189.73543,0.102479994,0.026771564,15.668052,2.738763,189.20157,189.69742,190.0161,189.6459,2.3210747241973877,873.4,6.8287483096122745
36,360000,2146.1699575607518,-192.04118,0.101606734,0.008577341,18.030706,2.915583,190.61247,191.6954,192.33743,191.21259,1.7583587169647217,662.8,7.041156522432963
37,370000,2407.920097895809,-192.159,0.10470615,0.012275111,16.053436,2.8827662,192.12566,192.38495,192.46085,192.58621,1.9045178890228271,722.6,7.252991398175557
38,380000,2080.804633929226,-196.9164,0.10719781,0.01143734,15.002743,2.8933063,195.73528,196.16107,197.22653,196.16754,1.6814968585968018,626.8,7.461859846115113
39,390000,2655.637792639997,-197.11743,0.10597671,-0.04389383,17.018108,3.4141836,196.42978,196.36719,197.47925,196.81209,2.168893575668335,808.6,7.680045529206594
40,400000,3028.4736977381426,-207.0514,0.108443975,0.004340525,18.211914,2.9599743,207.00749,206.87982,207.3724,207.45648,2.5107650756835938,886.7,7.90516961812973
41,410000,2886.219508412093,-202.54568,0.1091565,0.0077540856,19.988325,2.9289637,202.63351,202.48721,202.86539,203.22473,2.254484176635742,822.0,8.12489530245463
42,420000,3062.059944481889,-195.00562,0.107474074,-0.017813068,21.54172,3.1657429,193.92564,195.06276,195.34586,194.59209,2.3822834491729736,886.5,8.342740221818287
43,430000,2961.063799903998,-211.2103,0.111344524,-0.024296783,29.622253,3.2182126,210.09563,210.84119,211.56862,210.57591,2.2895522117614746,857.8,8.558691402276358
44,440000,2998.5320045953154,-215.73486,0.11414872,0.001023063,18.63177,2.9910374,214.88055,215.60242,216.0763,215.25504,2.4184775352478027,881.0,8.776955838998159
45,450000,3367.57988132417,-218.7219,0.11315571,-0.00885553,19.562504,3.0782597,217.7243,218.203,219.07022,218.03362,2.6215810775756836,959.3,8.998935186862946
46,460000,2957.8946545319036,-222.42462,0.11557196,-0.008801139,19.827593,3.076153,221.68251,221.52003,222.78012,221.5481,2.288165330886841,846.9,9.217096793651582
47,470000,3487.956458362539,-223.7802,0.116301656,0.02812396,18.42778,2.758181,223.55971,223.37445,224.10098,223.8633,2.7122881412506104,1000.0,9.443961862723032
48,480000,3563.0032204862473,-224.16281,0.1141646,0.017536,16.167246,2.8463972,222.97906,223.60077,224.48778,223.3352,2.7030718326568604,1000.0,9.66593277057012
49,490000,3348.667529239456,-230.76212,0.115058556,-0.01487495,18.087515,3.1292815,229.78207,229.92967,231.1222,230.014,2.563755750656128,936.8,9.889357320467631
50,500000,3383.383425296042,-225.06859,0.11305082,-0.03312913,18.251064,3.2930465,224.51395,225.32715,225.44086,224.95325,2.568098306655884,943.7,10.113336078325908
51,510000,3351.486316002505,-229.4747,0.113232836,0.038075622,19.900976,2.6637406,228.70316,229.25783,229.77634,229.04665,2.5052390098571777,945.1,10.33592277765274
52,520000,3326.1850947323665,-237.39328,0.116631284,0.017324341,26.963505,2.8514607,237.63176,237.14716,237.72585,238.02167,2.469846248626709,908.2,10.56051607131958
53,530000,2382.3353482335056,-244.74582,0.11138214,0.049553983,18.79924,2.5550995,244.41452,244.83304,245.03041,244.76495,1.775038480758667,665.0,10.769552783171337
54,540000,3467.961998916151,-241.54312,0.11370224,0.01816846,18.231264,2.8402102,241.48846,241.45966,241.86606,241.80008,2.621584892272949,971.4,10.997518567244212
55,550000,3676.5763167747764,-247.8552,0.112921245,0.052093938,16.884472,2.5386703,247.33496,247.86835,248.14185,247.5059,2.8195230960845947,1000.0,11.224855995178222
56,560000,3461.308459937964,-258.05414,0.11201696,0.00827481,17.050747,2.9261289,258.1925,258.47156,258.3819,258.4726,2.5232625007629395,932.9,11.444205462932587
57,570000,3507.4281442265337,-248.25748,0.111584,-0.022047829,34.565388,3.1975894,247.33363,247.43149,248.61429,247.36345,2.5912222862243652,940.0,11.669013849894206
58,580000,3365.1514660362,-253.30814,0.114119776,-0.041713875,16.68917,3.3655272,252.71698,252.692,253.69221,252.99191,2.3410255908966064,884.9,11.885786124070485
59,590000,3707.5806395611935,-254.94673,0.114379056,-0.045637466,19.132454,3.399002,255.37791,255.08269,255.33551,255.75456,2.775495767593384,1000.0,12.110136977831523
60,600000,3325.9358204062883,-258.22714,0.113800995,-0.0080908295,14.763636,3.0710962,257.5076,258.15735,258.57663,257.85904,2.411369800567627,888.6,12.328894837697346
61,610000,3468.4299400035534,-255.94144,0.11321135,-0.05808741,27.051382,3.5130882,255.55788,255.2901,256.33917,255.85748,2.521728992462158,920.6,12.551104199886321
62,620000,3795.0221834886456,-263.329,0.11494286,-0.011710318,20.330599,3.1018796,262.274,262.6258,263.68555,262.5632,2.7187705039978027,1000.0,12.778926531473795
63,630000,3667.5474593830745,-258.30658,0.11218119,0.019227993,26.88285,2.828599,257.60785,257.99246,258.62387,257.96704,2.668199062347412,945.5,13.004336579640706
64,640000,3413.899269899843,-260.0191,0.113724284,-0.016190577,17.242113,3.142367,259.1059,259.95978,260.37646,259.61078,2.5045676231384277,912.4,13.226917191346486
65,650000,3786.9723574782947,-265.78876,0.11545581,0.056166455,29.923897,2.513524,264.90228,265.81735,266.07892,265.27997,2.760190010070801,1000.0,13.45234673023224
66,660000,3861.3759885789195,-265.29526,0.11436533,-0.04164447,83.97948,3.3641355,264.44208,264.54065,265.68,263.92392,2.6602799892425537,1000.0,13.676295832792919
67,670000,3333.745392967874,-270.77942,0.11719568,-0.031869132,18.579893,3.2719312,270.167,270.5424,271.1629,270.45917,2.3097357749938965,873.0,13.894757028420766
68,680000,3681.393365730784,-271.10312,0.11426718,-0.018512856,17.639122,3.1620138,271.0145,271.0969,271.46442,271.45074,2.580005407333374,960.4,14.11985301176707
69,690000,3740.987939640983,-265.97827,0.11475379,-0.03572792,18.684776,3.3113441,265.45764,265.56027,266.35828,265.63315,2.5683512687683105,968.2,14.342665175596872
70,700000,3773.772979344835,-277.85315,0.11366231,-0.025681935,12.45919,3.2259495,277.79413,278.1819,278.21985,278.1352,2.786074161529541,1000.0,14.573404828707377
71,710000,3845.3859292048073,-271.56274,0.11412181,-0.043099225,15.903847,3.3776598,270.4971,271.54523,271.94818,270.87946,2.7236969470977783,1000.0,14.803776081403097
72,720000,3579.30038575894,-274.8531,0.11202526,-0.04325141,16.729984,3.3860862,274.9688,275.05554,275.23242,275.30112,2.570986747741699,941.3,15.024971981843313
73,730000,3623.55697941836,-271.67578,0.11178924,-0.052704647,21.530457,3.4714644,272.2175,271.76678,272.06387,272.5808,2.5321249961853027,938.5,15.24857249657313
74,740000,3817.272111834764,-275.17767,0.110359,-0.01682432,15.796585,3.1524508,274.9505,275.3203,275.52557,275.2517,2.7252557277679443,1000.0,15.477135101954142
75,750000,3667.7071450284107,-278.3926,0.11257087,0.010901533,15.077026,2.9031587,277.78076,278.54596,278.71942,277.9685,2.5832409858703613,964.8,15.701315089066822
76,760000,3824.609571720864,-280.52344,0.11287213,0.026561355,16.636723,2.7646775,280.61517,280.4171,280.83548,280.91473,2.6495048999786377,986.6,15.926386197408041
77,770000,3786.189136613365,-277.06195,0.112026826,-0.021901041,15.980766,3.1954982,277.9732,277.10004,277.41995,278.2741,2.6798417568206787,1000.0,16.15135633945465
78,780000,3133.677227141029,-281.9995,0.109561145,-0.046899743,21.432465,3.428069,281.39117,282.05927,282.37512,281.59888,2.1473214626312256,809.6,16.36506270170212
79,790000,3718.2727673076306,-279.2247,0.107652016,-0.06229489,16.781715,3.578669,278.8982,279.3471,279.60995,279.3116,2.660108804702759,958.5,16.588796051343284
80,800000,3739.5730366520233,-281.23895,0.107179835,0.0144860465,16.941986,2.8648434,281.06268,281.42606,281.546,281.25262,2.7562808990478516,1000.0,16.812434697151183
81,810000,3690.934061482417,-280.0407,0.10941084,-0.029212313,19.993008,3.2669964,279.654,279.539,280.39813,279.81006,2.6695168018341064,1000.0,17.034121684233348
82,820000,3771.1309325657967,-279.1877,0.10963626,0.0058080284,14.0316725,2.9470246,279.21002,279.23175,279.5108,279.3543,2.6758553981781006,1000.0,17.26317310333252
83,830000,3602.3312575665927,-287.13013,0.10767829,-0.0025747474,14.809256,3.0239115,287.3476,287.54028,287.45575,287.56494,2.548616647720337,947.2,17.48976768652598
84,840000,3660.8208035261514,-289.48038,0.10753541,-0.0102930935,29.553982,3.0957181,288.6568,289.32416,289.8133,288.87064,2.670020580291748,971.1,17.71352339188258
85,850000,3828.192103894072,-287.26114,0.10551304,0.0073977932,16.533852,2.9298875,287.69507,287.05124,287.57028,287.87527,2.792708158493042,1000.0,17.94271294673284
86,860000,3476.874834350185,-290.1262,0.105545565,0.008901762,9.726904,2.9156594,290.52405,290.1323,290.43396,290.73285,2.444973945617676,913.0,18.161079140504203
87,870000,3816.5493893641033,-292.46915,0.1039278,0.02907241,12.649822,2.7202635,292.2984,292.14813,292.75186,292.451,2.692068576812744,1000.0,18.385924780368804
88,880000,3719.4356432210384,-285.5617,0.10619945,-0.0034124963,21.347656,3.0321326,285.1427,285.15555,285.88373,285.36737,2.656822919845581,960.8,18.6081552028656
89,890000,3679.533091838018,-283.81543,0.10177046,-0.03671604,15.977198,3.360773,283.466,284.1068,284.15747,283.82495,2.505544900894165,945.6,18.82937686443329
90,900000,3012.7979019912696,-295.07617,0.10205526,0.043121018,12.983166,2.5774736,294.7765,295.07965,295.33917,294.98178,2.1030702590942383,801.0,19.043904570738473
91,910000,3833.7064353637493,-293.88654,0.10255272,0.046011593,12.4905205,2.5513372,293.92053,294.08853,294.14816,294.2553,2.705784559249878,1000.0,19.27060268719991
92,920000,3836.374573511611,-298.959,0.102598965,0.009871483,18.687143,2.9037857,298.6776,299.1916,299.25696,298.8325,2.6948606967926025,1000.0,19.49409542878469
93,930000,3827.086276690354,-296.34412,0.104116745,0.07884209,10.851336,2.242753,296.04987,296.91333,296.5776,296.34332,2.765312671661377,1000.0,19.72039916117986
94,940000,3840.0501061525683,-301.2326,0.100554295,0.0035456903,17.289017,2.9647384,300.97287,300.901,301.5307,301.0478,2.693977117538452,1000.0,19.947462391853332
95,950000,3465.2237752200576,-301.43097,0.098627955,-0.019706763,17.057224,3.199809,299.97415,301.04822,301.74652,300.1654,2.444387674331665,903.8,20.16951473156611
96,955000,3864.017871294852,-300.3277,0.10205485,0.024493806,10.061846,2.7599938,299.64948,299.79202,300.60934,299.69894,2.6804535388946533,1000.0,20.305896921952566
97,960000,3821.2954314536305,-298.78146,0.099126786,0.009611713,19.354267,2.903036,298.18985,298.6072,299.0692,298.53833,2.680790901184082,1000.0,20.442413663864137
98,965000,3795.2315936389314,-300.7202,0.10101843,-0.01896562,13.3817215,3.1877441,300.68713,300.84204,301.04224,300.8944,2.7693419456481934,1000.0,20.578322120507558
99,970000,3868.921291807344,-308.24765,0.10055302,0.006574796,12.115238,2.9346137,307.54047,308.27304,308.54276,307.9707,2.683833599090576,1000.0,20.714416189988455
100,975000,3865.282736774935,-298.73907,0.10099841,0.031545512,19.228558,2.687663,298.48608,298.77786,299.01053,298.63733,2.7593579292297363,1000.0,20.851918788750968
101,980000,3845.5749934900728,-302.9104,0.102040656,-0.03904219,13.723809,3.3826141,302.58377,303.19885,303.25555,302.86676,2.7940030097961426,1000.0,20.98708883126577
102,985000,3909.1327991465682,-303.037,0.10071452,-0.033234995,16.701475,3.329992,302.5832,303.08313,303.3724,302.75598,2.7492969036102295,1000.0,21.122004572550455
103,990000,3711.818218750258,-296.88837,0.09860924,-0.003978735,16.83601,3.0403485,296.54407,296.51508,297.18814,296.8405,2.676496744155884,958.4,21.256024440129597
104,995000,3705.2804859876496,-301.1507,0.100198634,-0.054750092,14.7129755,3.5464156,300.83746,300.9945,301.506,301.06403,2.5187036991119385,954.0,21.38771227200826
105,1000000,3857.926045033607,-298.9087,0.098303966,-0.011853078,16.116344,3.120576,298.86618,298.60434,299.21545,299.092,2.697657346725464,993.6,21.523006165027617
